brand,storage,ram,phones_price,reviews,battery
Samsung Galaxy S7,64,," 8,999",25,
XIAOMI Redmi 14C,256,8," 16,999",0,5160
Tecno pop 7,64,," 10,348",19,5000
Vivo Y28 -,256,," 24,299",0,6000
Xiaomi Redmi 14C,128,4," 13,699",0,5160
Sony Xperia 5,128,8," 24,999",0,
TECNO SPARK 20,128,8," 15,999",3,5000
Xiaomi Redmi 13,,6," 18,499",0,5030
Realme C30s 6.5'',64,3," 9,250",15,5000
XIAOMI Redmi A3X,128,," 11,794",0,5000
Samsung Galaxy S7,,4," 8,999",7,
Itel A70 128GB8GB,128,," 10,499",0,5000
Samsung Galaxy S24,,12," 159,894",0,
iphone 14pro 256GB,256,6," 85,310",0,
Samsung Galaxy A55,128,," 40,999",0,5000
TECNO SPARK 20,128,4," 18,499",0,5000
Samsung Galaxy Note,32,," 8,999",5,
Samsung Galaxy A15,128,," 21,599",1,5000
XIAOMI Redmi 14C,256,8," 16,980",0,5160
oppo R9 F1plus,,4," 5,444",3,3010
Samsung Galaxy A55,256,," 50,499",0,5000
TECNO SPARK 10,128,," 17,999",0,5000
Samsung Galaxy A55,128,," 45,359",0,5000
Vivo Y03 64GB,64,8," 12,680",0,5000
Itel P65 128GB,128,8," 13,999",0,7400
Vivo V40 Lite,256,," 34,999",0,5000
Samsung Galaxy A55,256,," 50,000",0,5000
Apple iphone 14pro,256,6," 77,800",0,
iphone X 256G,,," 23,179",0,
KGTEL R10 16GB,16,," 4,999",8,2500
OPPO RENO 2Z,128,," 9,699",0,4000
Infinix 9 128GB,128,8," 12,994",0,
Samsung Galaxy S7,32,4," 9,999",1,
Vivo V40 LITE,,8," 34,594",0,
XIAOMI Redmi Note,,6," 20,699",0,5000
Tecno Camon 30,256,," 27,599",0,5000
Infinix Hot 50,256,," 26,494",0,5000
OPPO Reno 12,,12," 67,694",0,5000
Samsung Galaxy S7,128,," 9,599",17,
Infinix 9 128GB,128,8," 13,294",0,
Xiaomi Redmi Note,,12," 58,994",0,5000
XIAOMI Redmi 14C,128,8," 13,238",0,5160
OPPO Reno 12,,12," 48,894",0,5000
OPPO Reno 12,,12," 47,594",0,5000
Samsung Galaxy A15,128,," 21,599",0,5000
KGTEL YOLO 3,32,2," 6,988",12,5000
Tecno Camon 30,256,," 29,999",0,5000
Samsung Galaxy A55,128,," 45,000",0,5000
Infinix Hot 50,128,," 24,494",0,5000
Infinix Hot 50,256,," 25,694",0,5000
Infinix Hot 50,256,," 26,794",0,5000
Vivo V40 Lite,256,," 34,999",0,5000
Infinix Note 40,256,," 27,594",0,5000
Realme Q2Pro 8128GB,,," 12,900",1,4300
Oppo A33 5.0,16,2," 6,999",23,
Samsung Galaxy A55,128,," 48,399",0,5000
Infinix Hot 50,256,," 26,899",0,5000
M-HORSE NOTE 50,,4," 8,899",0,5999
XIAOMI Redmi Note,,6," 19,999",0,5000
realme C61 128GB6GB,128,," 14,580",0,5000
Oppo Reno 12F,256,8," 37,999",0,
Tecno Spark 30C,128,8," 13,999",0,5000
Samsung Galaxy A55,256,," 55,499",0,5000
Pixel XL 5.5&apos;&apos;,32,4," 10,899",0,
Infinix 9 64GB,64,6," 10,580",0,5000
OPPO R9 oppor9,64,4," 7,399",0,3350
Samsung Galaxy A06,64,," 12,999",0,5000
XIAOMI Redmi 14C,128,6," 15,099",0,5160
Motorola Motorola One,128,4," 10,999",0,
XIAOMI Redmi 14C,128,6," 14,690",0,5160
Samsung Galaxy A55,128,," 49,899",0,5000
Infinix Hot 50i,,12," 13,494",0,5000
"Tecno CAMON 20,",256,8," 23,599",2,5000
Tecno Camon 30S,256,," 33,794",0,5000
realme Note 50,64,3," 10,894",0,
Xiaomi Redmi 14C,128,6," 15,594",0,5160
XIAOMI Redmi 14C,128,6," 15,099",0,5160
XIAOMI Redmi 14C,128,6," 15,099",0,5160
Samsung Galaxy A55,128,," 40,999",0,5000
KGTEL YOLO 3,32,2," 6,988",5,5000
Realme NOTE 50,256,4," 12,799",0,5000
"Tecno CAMON 20,",256,8," 22,980",0,5000
