microwaves_name,microwaves_reviews,microwaves_price
"MICROWAVE. Ramtons Microwave Digital 20Litres with Grill RM310.Digital control and Grill Function, Multi cooking stage, 5 Power Levels, Speed Cooking",(0),"KSh 12,600"
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver",(0),"KSh 13,800"
Nunix Microwave Oven With Grill White 20L,(0),"KSh 9,785"
"Smart Pro 20L Digital Microwave Oven (SMV-20L-V2), Black",(0),"KSh 9,990"
Mika 20L Digital Microwave with Grill - Silver,(0),"KSh 14,500"
"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L - Black (1YR WRTY)",(0),"KSh 11,999"
Hisense Microwave Oven 700W 20L Digital Microwave-BLACK,(0),"KSh 9,990"
"HANMAC 20 L MANUAL MICROWAVE - 5 Power Levels , Multi-Stage Cooking , Defrost Function, Speedy Cooking",(0),"KSh 8,640"
Hisense 20L Digital Microwave - WHITE+2 YEARS WARRANTY,(0),"KSh 14,500"
"Synix 700w 20L Microwave Oven,Manual. Mechanical knob control, Without grill function, Matte black design. 5 microwave power levels, Defrost function, Door safety lock, Cooking end signal",(0),"KSh 9,400"
Hisense H20MOBS11 - 20L Digital Microwave Oven - Black (2YEARS WARRANTY),(0),"KSh 9,990"
Hisense H20MOMS11 - 20L Digital Microwave Oven - SILVER-(2YRS WARRANTY),(0),"KSh 10,399"
Silver /  Black hisense Digital Microwave,(0),"KSh 10,699"
"🔥 Hanmac 20L Manual Black Microwave
The Hanmac 20L Manual Black Microwave is the perfect addition to your kitchen for quick and easy cooking. Offering a classic design with manual control, this micro",(0),"KSh 10,268"
"LUXURY FOR LESS. MICROWAVE. Ramtons RM/458 - Digital Glass Microwave, 700W - 20L,5 microwave power levels, 95 minutes digital timer, Defrost by weight/time, Cooking end signal, 8 auto menus",(0),"KSh 12,150"
"Ramtons Digital Glass Microwave, 700W - 20L -Black & Silver",(0),"KSh 11,499"
20 L HANMAC (HMR20E2) EXTRA LARGE MICROWAVE OVEN - Customize your cooking with 5 different power settings to perfectly cook a variety of dishes.35-Minute Digital Timer: Precisely time your meals with,(0),"KSh 10,800"
"SYINIX 20 L MICROWAVE OVEN - Compact , Digital Panel , Convenient, 800 watts of power, 10 power levels and 6 1-touch cooking menus to help you prepare a wide range of foods efficiently.",(0),"KSh 8,505"
"CLEARANCE OFFER HANMAC 20L Manual Microwave with Turntable Glass, Push-Button Door, Kitchen Timer HMR20M",(0),"KSh 8,299"
🤪🥰CHOOSE QUALITY CHOOSE THE FUTURE 👏Nunix 20L Electric Oven With Grill (3 Knobs) Electric Rotisserie Oven Input Power: 1280W Voltage: 220V/50Hz Operating Frequency: 2450MHz 6 Microwave Power Level,(0),"KSh 6,300"
Hisense Microwave Oven H20MOMS11 700W 20L Digital Microwave-White,(0),"KSh 12,999"
"20 L HANMAC DIGITAL MICROWAVE OVEN - Speed Defrost, Digital control and Grill Function, 5 Power Levels, Cooking End Signal.",(0),"KSh 9,990"
🌿✔️EMBRACE THE LATEST TREND 🥰))Nunix 20L Electric Oven With Grill (3 Knobs) Electric Rotisserie Oven Input Power: 1280W Voltage: 220V/50Hz Operating Frequency: 2450MHz 6 Microwave Power Level White,(0),"KSh 6,633"
"🔥 MEGASALE! Silver Mika Microwave Oven with Grill – Efficient and Powerful
The Silver Mika Microwave Oven with Grill offers everything you need for quick and delicious meals. With its 700W output, gr",(0),"KSh 14,000"
"🔥 20L Smart Pro Digital Black Microwave
The 20L Smart Pro Digital Black Microwave offers advanced digital control and sleek design, bringing modern convenience to your kitchen. With its user-friendly",(0),"KSh 11,220"
"Nunix😍 20 Litres😚 Manual Setting Microwave Oven 🤍Intuitive cooking settings with a smart sensor automatically adjust power and time, removing the complexity from daily cooking. There are six differ",(0),"KSh 9,292"
"Smart Pro Microwave Oven  20L Digital, Black - (SMV-20L-V4 2)(1YR WRTY)",(0),"KSh 9,999"
"20 L HANMAC MANUAL MICROWAVE OVEN - 5 Power Levels, Multi-Stage Cooking,Defrost Function,  Speedy Cooking, Cooking Completion Signal, Glass Turntable.",(0),"KSh 8,640"
Hisense H36MOMMI 36L Microwave,(2),"KSh 22,999"
Hisense 20L Digital Microwave Oven H20MOMWS11 (SILVER),(0),"KSh 10,399"
Nunix 20L Electric Oven With Grill (3 KnobsElectric Rotisserie Oven Input Power: 1280W Voltage: 220V/50Hz Operating Frequency: 2450MHz 6 Microwave Power Level White cavity Capacity:,(0),"KSh 6,670"
"🥰🥰🤑(BUY NOW AND ENJOY UPTO 50% OFF)🌿💫Hisense 20Litres Digital Microwave (White).Membrane digital control
Blue LED display
11 microwave power levels
6 auto cooking menus
99.99mins cooking timer
24",(0),"KSh 11,200"
