microwaves_name,microwaves_reviews,microwaves_price
"CLEARANCE OFFER Haier HMW20DBM Digital Microwave Oven 700W, 20L -",(0),"KSh 13,999"
CLEARANCE OFFER Hisense 20L Digital Microwave Oven 20 Liters Microwave,(0),"KSh 11,499"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L WITH GRILL,(0),"KSh 10,799"
"Hanmac Microwave 20L Digital with Multiple Power Levels, Speed Defrost, Child Lock",(0),"KSh 10,650"
Roch 20Ltrs Digital Microwave Oven High Quality Microwaves With 1 YR Warranty,(0),"KSh 10,760"
"Hanmac Microwave 20L Digital with Multiple Power Levels, Speed Defrost, Child Lock",(0),"KSh 11,086"
CLEARANCE OFFER Mika Digital Microwave oven 20Ltr with Grill 1000Watt,(0),"KSh 12,999"
"Hanmac Microwave 20L Digital with Multiple Power Levels, Speed Defrost, Child Lock",(0),"KSh 10,669"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L. C20PG1,(0),"KSh 9,999"
20L Litres Sterling microwave oven,(0),"KSh 9,500"
"Mika Microwave Oven, 20L, Black  MMWMSKH2012B Now Available",(0),"KSh 12,499"
"Rebune Microwave, 30Litres Microwave+ Oven RE-10-8
Digital control
*5 power levels
*8 Auto menus
*Defrost function
Cooking end signal
*Child safety lock
*30 Seconds quick Start
*Power:220V- 60Hz 900W",(0),"KSh 19,529"
"Hanmac Microwave Digital 20L – HMR20EG2
Digital Timer
Digital Control With Gril Function
5 Power Levels
Defrost Function
Grill Power 1000W
Multi-stage Cooking
Speedy Cooking",(0),"KSh 13,959"
"20 litres Haier digital microwave oven Stylish (Silver) stainless steel finish, Compact size 20L Capacity, 700 Watts and 10 Power Levels.
Clock Timer, Easy auto-cook functions: Popcorn, Potato, Pizza,",(0),"KSh 15,151"
Premier PM 204 multi purpose digital microwave  with 6 months warranty with grill gray microwave oven electronics and appliances small appliances kitchen appliances microwave ovens,(0),"KSh 11,999"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,799"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L WITH GRILL,(0),"KSh 10,999"
LG MJ3965BCS 39L Smart Inverter Convectional Microwave,(0),"KSh 67,995"
Syinix 20L Digital Microwave Oven with Grill - Black,(0),"KSh 10,410"
Roch 20Ltrs Digital Microwave Oven High Quality Microwaves With 1 YR Warranty,(0),"KSh 10,650"
Roch 20Ltrs Digital Microwave Oven High Quality Microwaves With 1 YR Warranty,(0),"KSh 12,094"
Roch 20Ltrs Digital Microwave Oven High Quality Microwaves With 1 YR Warranty,(0),"KSh 10,669"
Mika Microwave 19L  Black,(0),"KSh 9,690"
"CLEARANCE OFFER VON VAMS-21DGK, 700W Digital Microwave Oven- 20L",(0),"KSh 10,999"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L WITH GRILL,(0),"KSh 10,999"
MIKA MICROWAVE OVEN GRILL 20LTR With 1000W Grill - Silver,(0),"KSh 14,445"
LG MH8265CIS 42L NeoChef™ Grill Microwave (Stainless Steel),(0),"KSh 38,995"
Hisense 20L Digital Microwave Oven H20MOMWS11,(0),"KSh 9,499"
HANMAC DIGITAL MICROWAVE WITH GRILL FUNCTION - 20 L,(0),"KSh 12,623"
"Ramtons RM/458 - Digital Glass Microwave, 700W",(0),"KSh 15,179"
CLEARANCE OFFER Nunix 20L Digital Microwave without Grill,(0),"KSh 9,999"
"CLEARANCE OFFER VON VAMS-21DGK, 700W Digital Microwave Oven-",(0),"KSh 10,999"
"Hanmac 20L Manual Microwave with Turntable Glass, Push-Button Door, Kitchen Timer HMR20M - Brand New, Easy to operate and maintain, and energy-saving",(0),"KSh 12,000"
QUALITY ORIGINAL ROCH  Microwave manual ROCH  OVEN,(0),"KSh 11,000"
"Syinix 20 litres microwave oven COMPACT: The Countertop Microwave is 44cm long making it the ideal choice to fit into your dormitories, apartment kitchens or workplace.
DIGITAL PANEL: Our microwave fe",(0),"KSh 8,666"
QUALITY ORIGINAL ROCH  Microwave manual ROCH  OVEN,(0),"KSh 10,500"
LG MS2595CIS 25L NeoChef SOLO Microwave (Stainless Steel),(0),"KSh 28,495"
LG MS4295CIS 42L NeoChef SOLO Microwave (Stainless Steel),(0),"KSh 33,495"
"LIMITED TIME DEALS Hisense white digital microwave 20L capacity
11 power levels
Defrost by weight function
Microwave output power of 700 watts
99'99 minute cooking timer
Push button door
Silver color",(0),"KSh 10,500"
LG MH8265DIS 42L NeoChef™ Grill Microwave (Black Finish),(0),"KSh 33,495"
LG MH6336GIB 23L NeoChef™ Grill Microwave (Black Finish),(0),"KSh 27,995"
Syinix Microwave Oven 20L,(0),"KSh 10,800"
CLEARANCE OFFER Hanmac Microwave Digital 20L With Multi-stage cooking -,(0),"KSh 11,499"
CLEARANCE OFFER Syinix 20L Microwave Oven -,(0),"KSh 10,299"
CLEARANCE OFFER Nunix 20L Digital Electric Microwave Oven WITH GRILL,(0),"KSh 10,999"
20ltrs MIKA MICROWAVE OVEN GRILL With 1000W Grill kitchen Silverrr,(0),"KSh 16,029"
LG MS2535GIS 25L NeoChef SOLO Microwave (Black Finish),(0),"KSh 26,995"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L,(0),"KSh 9,999"
"CLEARANCE OFFER Haier HMW20DBM Digital Microwave Oven 700W, 20L -",(0),"KSh 14,499"
"20l Icona digital microwave This Icona Microwave boasts 20 liters of space, allowing you to accommodate dishes and plates of various sizes. You can reheat leftovers or steam vegetables with this appli",(0),"KSh 9,999"
CLEARANCE OFFER Syinix 20L Microwave Oven,(0),"KSh 10,999"
CLEARANCE OFFER Syinix Microwave Oven 20L,(0),"KSh 8,399"
[NEW ARRIVALS!!]  MWO 20ME7DBKBSS Digital Microwave 35Mins440x355x258mm10.5/11.5kg,(0),"KSh 10,495"
Nunix 20L Digital Microwave Oven With Grill C20PG Silver,(0),"KSh 11,475"
Syinix 20L Digital Microwave Oven - Black,(0),"KSh 8,999"
"20 litres von digital microwaveSolo microwave
Power: 700W
Capacity: 20 Litres.
6 power levels
Digital Control
Auto-cook menus
Memory cooking (a combination of different programs)
Child lock
Strong gla",(0),"KSh 12,100"
CLEARANCE OFFER Hanmac Microwave 20L Digital With Grill Function -,(0),"KSh 11,999"
CLEARANCE OFFER Hanmac Microwave 20L Digital With Multi Stage Cooking,(0),"KSh 10,299"
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L Microwave Power output: 700W
5 microwave power levels
95 minutes digital timer
Defrost by weight/time
Cooking end signal
8 auto menus
Glass turntab",(0),"KSh 14,888"
Hisense White 20L Digital Microwave,(0),"KSh 10,800"
"HURRY AND PICK YOURS New arrival Manual Microwave 20ltrs for healthy cookingPower Levels :

Customize your cooking with 5 different power settings to perfectly cook a  variety of dishes.35-Minute Digi",(0),"KSh 9,999"
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L - Silver",(0),"KSh 13,500"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L Without GRILL,(0),"KSh 9,999"
Hanmac Microwave 20L Digital With Multi Stage Cooking- HMR20E2,(0),"KSh 12,659"
CLEARANCE OFFER HANMAC Microwave Manual 20L With Defrost Function,(0),"KSh 10,399"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,999"
20LMANUAL MICROWAVE SOLO.,(1),"KSh 8,000"
VON VAMS-21DGK Digital Microwave Oven Solo 20L – Black,(0),"KSh 11,880"
20 litres Roch digital microwave oven,(0),"KSh 10,899"
Ramtons Digital Microwave,(0),"KSh 12,999"
Roch 20ltrs Digital Microwave household appliances11 Microwave power levels Defrost function Cooking End Signal 650-700W microwave power 99minutes and 99,(0),"KSh 10,699"
CLEARANCE OFFER HANMAC Microwave Manual 20L With Defrost Function,(0),"KSh 9,199"
CLEARANCE OFFER HANMAC Microwave 20L Digital With Grill Function - HMR20EG3,(0),"KSh 12,299"
Cooking End Signal 1000 watts  Function HANMAC  20L Digital without Grill Microwave (manual),(0),"KSh 9,999"
"CLEARANCE OFFER Mika MMWMSKH2012B - Microwave, 20L, Manual -",(0),"KSh 9,999"
"CLEARANCE OFFER VON VAMS-21DGK, 700W Digital Microwave Oven- 20L",(0),"KSh 11,299"
C20MX 20 Litres manual Electric Nunix Microwave Oven Mechanical knob control Without grill function Matte black design White painted cavity 6 microwave power levels     35mins cooking,(0),"KSh 9,500"
"Mika MMWDSTH2342BF Microwave 23Ltrs Without Grill Digital-Flat Bed, BLACK",(0),"KSh 17,499"
"Icona microwaves,with Rotary Switch Knob, 700W Countertop Small Microwave with Microwave Turntable Plate, 6 Level Power Tabletop Microwave with Microwave Handle",(0),"KSh 10,000"
"Icona microwaves, Countertop Microwave Ovens 1.2 Cu Ft, 12.4"" Removable Turntable Smart Humidity Sensor 12 Auto Menus Mute Function ECO Mode Easy Clean Interior, 1100W",(0),"KSh 16,000"
QUALITY Von microwave wave digital 20ltrs,(0),"KSh 16,999"
QUALITY Von microwave wave digital 20ltrs,(0),"KSh 16,999"
CLEARANCE OFFER Syinix 20 litres microwave oven,(0),"KSh 8,399"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,999"
OFFER Roch digital 20litres microwave.,(0),"KSh 10,999"
Syinix Microwave Manual Oven - 20L MW720-03M,(0),"KSh 8,505"
CLEARANCE OFFER Syinix 20l Microwave Oven,(0),"KSh 8,499"
"HANMAC microwave,Countertop Microwave Ovens 1.2 Cu Ft, 12.4"" Removable Turntable Smart Humidity Sensor 12 Auto Menus Mute Function ECO Mode Easy Clean Interior Black Color 1000W",(0),"KSh 12,520"
"New arrival Manual Microwave 20ltrs,with Rotary Switch Knob,Countertop Small Microwave with Microwave Turntable Plate, 6 Level Power Tabletop Microwave with Microwave Handle",(0),"KSh 11,000"
"CLERANCE OFFER Mika 20L Digital, Solo, Microwave Oven",(0),"KSh 11,699"
"Mika Digital Microwave oven 20Ltr with Grill  -1000Watt, 7 Auto Cooking Menus Button , Press Door Opening .",(0),"KSh 14,580"
CLEARANCE OFFER Hanmac Microwave Digital 20L With Multi-stage cooking -,(0),"KSh 11,799"
Mika Microwave - 20L Digital with Grill + 2 YEARS WARRANTY,(0),"KSh 10,999"
"CLEARANCE OFFER Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver",(0),"KSh 12,999"
Roch Digital Microwave20 Liters capacity 11 Microwave power levels Defrost function Cooking End Signal 650-700W microwave power 99minutes and 99 seconds timer,(0),"KSh 13,499"
"CLEARANCE OFFER Ramtons RM/458 - Digital Glass Microwave, 700W - 20L",(0),"KSh 12,999"
"CLEARANCE OFFER HANMAC 20L Digital Microwave with Multiple Power Levels, Speed Defrost, Child Lock",(0),"KSh 9,999"
CLEARANCE OFFER Nunix Microwave Oven 20L,(0),"KSh 9,299"
Ramtons RM/310- Microwave Grill 20Litres,(0),"KSh 11,699"
Nunix 20L Microwave Oven,(0),"KSh 13,599"
[NEW ARRIVALS!] Roch 20 Litres Digital Microwave. Get yourself a life saving and time saving appliance to make your life much easier.. 20 Liters capacity 11 Microwave power levels Defrost function,(0),"KSh 11,999"
CLEARANCE OFFER Hisense Digital Microwave Oven 20L,(0),"KSh 10,399"
CLEARANCE OFFER Hanmac Microwave 20L Digital With Multi Stage Cooking-,(0),"KSh 10,999"
Nunix 20l Analog microwave,(0),"KSh 8,999"
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L",(0),"KSh 13,500"
Syinix 20 Litres Microwave Oven,(0),"KSh 8,640"
Nunix 20L Microwave Oven,(0),"KSh 13,599"
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L",(0),"KSh 15,159"
"HANMAC microwave,20L ,Microwave with 5 Power Levels, Small Microwave with Grip Handle, 700W Countertop Microwave with 30 Minute Timer and Mechanical Dial Controls, White",(0),"KSh 12,499"
"CLEARANCE OFFER Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver",(0),"KSh 12,999"
Icona Microwave oven 25L With Manual Setting Plus Grill ILMO-2550XW,(0),"KSh 14,999"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,499"
CLEARANCE OFFER HANMAC 3 years warranty 20L Digital + Grill Microwave,(0),"KSh 11,299"
25 LITERS RAMTONS MICROWAVE+GRILL - RM/326,(0),"KSh 18,000"
Hisense 20L Digital Microwave Oven H20MOMWS11 (White),(0),"KSh 10,800"
700w 20l Microwave Oven Black,(0),"KSh 9,999"
"HANMAC DIGITAL MICROWAVE WITH GRILL Digital control and Grill Function
Multi cooking stage with 9 Auto Menus -Simplify your cooking with 9 pre-set menus, perfect for a range of dishes, ensuring a hass",(0),"KSh 12,690"
"*HANMAC  MICROWAVE MANUAL* 20 Litres Manual solo Microwave power output 700 watts 35""Cooking timer Multi stage cooking 5 Power levels Defrost function Speedy cooking Cooking completion signal Gla",(0),"KSh 9,999"
"20LT MICROWAVE MANUAL WHITE,20 litre capacity, Dial controls, 700 watts, White, 5 power levels,",(0),"KSh 11,999"
CLEARANCE OFFER Nunix 20L Manual Setting Microwave Oven,(0),"KSh 8,999"
CLEARANCE OFFER 20 litres mika digital microwave oven,(0),"KSh 12,799"
CLEARANCE OFFER HANMAC 3 years warranty 20L Digital + Grill Microwave,(0),"KSh 9,999"
CLEARANCE OFFER Nunix 20L Electric Microwave Oven,(0),"KSh 8,999"
CLEARANCE OFFER Hanmac Microwave Manual 20L With Defrost Function -,(0),"KSh 9,299"
RESTOCKED Unlock Effortless Cooking: Explore the Hisense H20MOBS11 20L Microwave Oven,(0),"KSh 12,199"
CLEARANCE OFFER Ramtons RM/458 - Digital Glass Microwave,(0),"KSh 12,999"
"Mika, 20L, Digital, Solo, 700w Microwave Oven",(0),"KSh 11,999"
"CLEARANCE OFFER VON VAMS-21DGK, 700W Digital Microwave Oven- 20L",(0),"KSh 13,499"
Nunix 20L Microwave Oven,(0),"KSh 10,999"
Nunix 20L Microwave Oven,(0),"KSh 9,479"
"*HANMAC MICROWAVE DIGITAL+GRILL* 20 Litres Digital control with grill function Grill power 1000watts 95""Cooking TImer Multi stage cooking 5 Power levels Defrost function Speedy cooking Cooking co",(0),"KSh 13,000"
"CLEARANCE OFFER Mika MMWMSKH2012B - Microwave, 20L, Manual -",(0),"KSh 10,299"
"*HANMAC DIGITAL MICROWAVE WITH GRILL*

*✅Selling at  an affordable price 

✅20ltrs
✅ Silver Color
✅Defrost Function 
✅Cooking End Signal
✅8 Auto Menus",(0),"KSh 13,888"
"Ramtons RM/458,20L Digital Microwave",(0),"KSh 12,799"
"Haier HMW28DBM Digital Microwave Oven 700W, 20L",(0),"KSh 13,999"
CLEARANCE OFFER Synix Syinix 20l microwave oven,(0),"KSh 8,799"
Roch Microwave Capacity 20ltrs Defrost function 35 minutes timer Cooking end signal Pull handle door Glass door,(0),"KSh 12,000"
"CLEARANCE OFFER VON VAMS-21DGK, 700W Digital Microwave Oven- 20L",(0),"KSh 13,499"
Cooking End Signal 1000 watts Grill Function HANMAC  20L Digital + Grill Microwave,(0),"KSh 12,999"
C;LEARANCE OFFER Hanmac Microwave Digital 20L With Multi-stage cooking -,(0),"KSh 11,499"
CLEARANCE OFFER Roch 20 Liters Digital Microwave-,(0),"KSh 9,499"
CLEARANCE OFFER Nunix 20L Digital Microwave (No Grill),(0),"KSh 10,499"
OFFER Nunix Microwave Oven 20L WITH GRILL White L 800w,(0),"KSh 12,999"
ORIGINALHisense H25MOMS7HG 25L Grill Microwave25L Grill Microwave oven 6 auto menu 11 power levels grey cavity memory function kitchen timer 900w output power clock setting weight/timer defrost functi,(0),"KSh 17,279"
CLEARANCE OFFER Hisense 20L Digital Microwave Oven 20 Liters Microwave,(0),"KSh 11,499"
AILYONS 20L Defrosting Microwave kitchen appliances.30 Max TimerManual controlsDefrost setting20L Capacity.has a large turntable did Enables you to load bigger food containers or more food.,(0),"KSh 10,470"
Icona London 20L Manual Setting Microwave OvenThis retro cream design is cute and compact. Its perfect for small kitchen spaces found in apartments or dorms. It would also make a great addition in an,(0),"KSh 12,000"
"CLEARANCE OFFER Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -B",(0),"KSh 12,999"
CLEARANCE OFFER ICONA Digital Microwave 20L With Handle,(0),"KSh 9,999"
"Mika MMWMSKH2011W - Microwave, 20L, Manual - White",(0),"KSh 11,950"
CLEARANCE OFFER Hisense Digital Microwave Oven 20L,(0),"KSh 10,999"
"Hisense 20L Microwave Oven,Timer-2 years warranty",(0),"KSh 9,890"
"CLEARANCE OFFER Mika 20L Digital, Solo, Microwave Oven",(0),"KSh 12,499"
"[SPECIAL OFFER!!!] MWO 23ME8DBKBSS Digital Microwave 48.5*38.3*29.3cm ,23ltrs",(0),"KSh 15,500"
"Hisense white digital microwave 20L capacity
11 power levels
Defrost by weight function
Microwave output power of 700 watts
99'99 minute cooking timer
Push button door
Silver color and silver door
255",(0),"KSh 12,131"
CLEARANCE OFFER Hisense Digital Microwave Oven 20L White,(0),"KSh 10,999"
Roch Microwave Capacity 20ltrs Defrost function 35 minutes timer Cooking end signal Pull handle door Glass door,(0),"KSh 12,000"
Nunix 20L Digital Electric Microwave Oven WITH GRILL,(0),"KSh 10,999"
Hisense 23L Digital Microwave Oven H23MOMS5H,(0),"KSh 14,999"
"Ramtons RM/320 - Digital Microwave,  - 20L",(0),"KSh 15,500"
CLEARANCE OFFER Mika 20L Digital Microwave with Grill,(0),"KSh 13,499"
Mika 20L Digital Microwave with Grill,(0),"KSh 14,999"
Von VAMG-21DGK Digital Microwave Oven Grill 20L Extra large cavity space  – Black,(0),"KSh 10,980"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L WITH GRILL,(0),"KSh 10,999"
(LIMITED OFFER) LG Smart Inverter Dual Control MS2535GIS Microwave oven Smart Inverter Even Heating and Easy Clean,(0),"KSh 26,799"
CLEARANCE OFFER Syinix 20l Digital Microwave Oven,(0),"KSh 11,799"
CLEARANCE OFFER ICONA Digital Microwave 20L With Handle,(0),"KSh 9,999"
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L",(0),"KSh 15,659"
Icona Microwave oven 25L With Digital Setting  ILDMO-2565XB,(0),"KSh 13,999"
CLEARANCE OFFER HANMAC 3 years warranty 20L Manual Microwave,(0),"KSh 8,999"
OFFER Roch Digital Microwave 20ltrs Black as pictur Black 20 L,(0),"KSh 10,999"
OFFER Premier 20L Microwave Ovens Black as picture Black 20 L,(0),"KSh 11,400"
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L - Silver",(0),"KSh 13,770"
Nunix 20L Microwave Oven,(0),"KSh 13,999"
CLEARANCE OFFER HANMAC Microwave 20L Digital With Grill Function,(0),"KSh 12,499"
haier affordable 20ltrs microwave oven,(0),"KSh 13,959"
Hisense 25L Grill Microwave Oven H25MOMS7HG,(0),"KSh 22,500"
CLEARANCE OFFER ICONA 20 Ltrs Digital Microwave Oven,(0),"KSh 9,999"
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L",(0),"KSh 15,399"
Icona Microwave oven 20L With Manual Setting  ILMO-2025XW,(0),"KSh 10,999"
"20L HANMAC DIGITAL MICROWAVE WITH GRILL

✔ Silver color

✔Defrost function

✔Cooking end signal

✔8 Auto Menus",(0),"KSh 13,529"
Premier 20L Digital Multi Purpose Microwave Oven With Grill,(0),"KSh 12,345"
CLEARANCE OFFER Nunix 20L Manual Setting Microwave Oven,(0),"KSh 9,999"
Icona Microwave oven 20L With Manual Setting  ILMO-2015XW,(0),"KSh 10,999"
"SYINIX MICROWAVE MANUAL 20L MW720-05M
Power Levels: 5
Power: 700W
Capacity: 20L
Rated Voltage: 220-230V
Weight: 7.5kg",(0),"KSh 10,279"
"CLEARANCE OFFER Roch RMW-20PX7P-B (B) Microwave Oven, 700W, 20L -",(0),"KSh 9,499"
Ramtons RM/551 25 LITRES MICROWAVE+GRILL BLACK,(0),"KSh 22,000"
CLEARANCE OFFER Hisense 20L Digital Microwave -,(0),"KSh 11,499"
Syinix digital microwave with grill,(0),"KSh 11,555"
Nunix 20l Digital microwave with grill,(0),"KSh 11,999"
CLEARANCE OFFER Mika 20L Digital Microwave with Grill,(0),"KSh 13,999"
CLEARANCE OFFER HANMAC 20L Digital Microwave,(0),"KSh 9,499"
CLEARANCE OFFER Nunix 20L Digital Microwave without Grill,(0),"KSh 9,999"
Binatone 20 Litres (MWO 2017) Microwave Oven - Black,(0),"KSh 9,990"
Roch High Efficiency Commercial Manual Microwave,(0),"KSh 11,000"
"Haier HP90D23EL-B8 Glass Microwave Oven 900W, 23L",(0),"KSh 21,000"
Nunix 20L Microwave Oven with Grill,(0),"KSh 13,000"
Nunix 20L Microwave Oven,(0),"KSh 11,000"
Bosch FEL053MS1M Microwave - 800W – 25L,(0),"KSh 25,999"
Premier 20L Microwave Ovens.Digital control 2.12/24 Hour clock system 3.6 microwave power levels 4.Quick start 5.Defrost setting 6. 8 Auto cooking menus 7.Cooking end signal 8.Handle door 9.Glass turn,(0),"KSh 14,990"
{BIG SALE}Premier Microwave 20ltrs20L microwave 30 Minute timer Manual control Grill function  Combination cooking Defrost setting Cooking end signal Button touch door Glass turntable White cavity 5 P,(0),"KSh 9,887"
"Nunix 20 Litres Manual Setting Microwave Ovenpower levels
pre-programmed settings
Child safety lock
Keep warm function
Defrost function
Easy-to-clean interior",(0),"KSh 8,888"
LG Even Heating and Fast Cooking Solo NeoChef Microwave Oven MJ3965BCS 39L Smart Inverter EasyCleanSmart Inverter Large Tempered Glass door design,(0),"KSh 65,299"
"Icona 20litres manual microwave, 【EASY TO USE 】 Cook 9 of the most popular microwave foods in the press of one button. Press the desired pre-programmed button and the microwave automatically starts.",(0),"KSh 9,650"
CLEARANCE OFFER HANMAC microwave 20l manual,(0),"KSh 8,799"
"CLEARANCE OFFER Mika MMWMSKH2012B - Microwave, 20L, Manual -",(0),"KSh 9,999"
CLEARANCE OFFER Haier Microwave 20L Digital HMW20DBM,(0),"KSh 13,999"
BEST MICROWAVE IN TOWN Roch 20 Litres Digital Microwave,(0),"KSh 10,200"
"CLEARANCE OFFER Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -",(0),"KSh 12,999"
"Syinix 20l manual microwave oven;
The microwave has a large turntable did Enables you to load bigger food containers or more food.",(0),"KSh 9,999"
"VON Digital Microwave Oven, VAMS-20DGX, Solo No Grill, 20LTR - BLACK 700 Watts
2 Defrost options 
Time defrost
Weight defrost 
6 Auto cook menus (Potato, Pizza, Popcorn, Beverage, Frozen Dinner, Rehea",(0),"KSh 13,131"
Hisense 25L Grill Microwave Oven H25MOMS7HG,(0),"KSh 26,300"
RM551 Ramtons Microwave with Grill 25Ltrs,(0),"KSh 22,000"
"Mika  Microwave, 20L, Manual - Black",(0),"KSh 10,800"
ICONA 20 Ltrs Digital Microwave Oven,(0),"KSh 9,899"
"ICONA DIGITAL MICROWAVE This convection microwave oven is the perfect way to cook a variety of dishes quickly and easily. The convection function circulates hot air around the food, which helps to coo",(0),"KSh 9,898"
"CLEARANCE OFFER Mika MMWMSKH2012B - Microwave, 20L, Manual -",(0),"KSh 9,999"
"CLEARANCE OFFER VON VAMS-21DGK, 700W Digital Microwave Oven- 20L",(0),"KSh 13,499"
"CLEARANCE OFFER VON VAMS-20DGB, 20L, 700Watts Microwave Oven",(0),"KSh 13,499"
Premier Digital 20L Multipurpose Microwave,(0),"KSh 11,172"
"CLEARANCE OFFER Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -",(0),"KSh 12,999"
Syinix 20 litres microwave oven,(0),"KSh 9,529"
CLEARANCE OFFER Synix Syinix 20l microwave oven,(0),"KSh 8,999"
CLEARANCE OFFER Hisense 20L Digital Microwave Oven 20 Liters Microwave,(0),"KSh 11,999"
CLEARANCE OFFER Hisense Digital Microwave Oven 20L White,(0),"KSh 10,999"
"⏺️HANMAC microwave (manual) 
. capacity: 20litres
.Has 5power levels
.Has a defrost feature 
.Power :700W
.Has a 35minute timer
Available at the shop
 *HAS A THREE* - *YEAR*  *~*WARRA",(0),"KSh 9,999"
Icona Microwave oven 20L With Digital Setting  ILDMO-2035XB,(0),"KSh 12,999"
CLEARNCE OFFER Mika 20L Digital Microwave with Grill,(0),"KSh 13,999"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,999"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
"Mika 20L Manual Microwave, 700W, Black",(0),"KSh 13,000"
"CLEARANCE OFFER Mika MMWMSKH2012B - Microwave, 20L, Manual",(0),"KSh 10,499"
CLEARANCE OFFER VON HMS-202DB/VAMS-20DGB - Digital Solo - 20L microwave,(0),"KSh 12,599"
CLEARANCE OFFER Hisense 20L Microwave Oven - H20MOBS11 (,(0),"KSh 11,999"
"CLEARANCE OFFER Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver",(0),"KSh 12,999"
"(EXCLUSIVE DEALS AT A PROMOTION PRICE)Roch Manual Microwave Oven 700W, 20L – RMW-20L8M-B (B)20L manual microwave oven 700W output power 99″99′ cooking timer 10 microwave power levels Turntable glass t",(0),"KSh 9,595"
Haier HMW20DBM Digital Microwave Oven 20L,(0),"KSh 10,999"
CLEARANCE OFFER Nunix 20l Digital microwave with grill,(0),"KSh 10,999"
"CLEARANCE OFFER VON VAMS-20DGB, 20L, 700Watts Microwave Oven",(0),"KSh 12,999"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
20ltrs Nunnix cm20mx microwave,(0),"KSh 11,599"
"Haier  28L Digital Microwave Oven 700W,  Black -HMW28DBM",(0),"KSh 16,615"
Roch 20 Liters Digital Microwave-black,(0),"KSh 10,779"
"Mika FINEST

Digital microwaves With grill",(0),"KSh 16,399"
CLEARANCE OFFER Hisense Microwave Oven H20MOMS11 20L,(0),"KSh 11,999"
20L  HANMAC microwave with grill  1000W energy Has 9 auto menus,(0),"KSh 14,999"
CLEARANCE OFFER ICONA Digital Microwave 20L With Handle,(0),"KSh 10,499"
LG MS2032GAS 20L Microwave: Stylish & Powerful,(0),"KSh 23,999"
CLEARANCE OFFER Hisense H20MOBS11 - 20L Digital Microwave Oven,(0),"KSh 11,999"
HANMAC DIGITAL MICROWAVE WITH GRILL - 20L (8 Auto Menus),(0),"KSh 12,825"
Synix Manual Microwave 20L Model MW720-05M with Defrost | 5 Power Levels | Manual Control Timer | Cooking End Signal | Glass Turntable | Multi Cooking Levels,(0),"KSh 11,400"
Mika Microwave Output: 700W. Capacity: 20 Litres. Voltage: AC 230-240V/50Hz. Manual Control. 5 Power Level. Defrost Function. 35 Minutes Timer. Durable Glass Door With Handle. Color: Silver,(0),"KSh 14,000"
Mika Microwave Output: 700W. Capacity: 20 Litres. Voltage: AC 230-240V/50Hz. Manual Control. 5 Power Level. Defrost Function. 35 Minutes Timer. Durable Glass Door With Handle. Color: Silver,(0),"KSh 14,000"
CLEARANCE OFFER Hisense Digital Microwave Oven 20L,(0),"KSh 10,999"
Hisense H20MOMS1 - 20L Microwave,(0),"KSh 19,600"
