link,name,price,discount,brand,image_url,data_id,data_category,data_discount,data_price,data_name
https://www.jumia.co.ke/nunix-50-55cm-cookers-3-gas-1-hotplate-electric-oven-3-gas-electric-oven-1yr-wrty-187877732.html,"50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)","KSh 22,000",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/7778781/1.jpg?4456,NU344HA21OZMENAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers,N/A,162.32,"50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)"
https://www.jumia.co.ke/nunix-50-55cm-cooker-4-gas-burners-gas-oven1yr-wrty-187877731.html,"50 * 55cm Cooker, 4 Gas Burners, Gas Oven (1YR WRTY)","KSh 18,480",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/7778781/1.jpg?4415,NU344HA1VQNKMNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers,N/A,136.35,"50 * 55cm Cooker, 4 Gas Burners, Gas Oven (1YR WRTY)"
https://www.jumia.co.ke/von-vcf503131nfy-3-gas-1-electric-hotplate-electric-oven-50x50-grey-1yr-wrty-283640047.html,"VCF503131NFY, 3 Gas + 1 electric hotplate, Electric oven 50x50 Grey (1YR WRTY)","KSh 24,999",N/A,VON,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/0046382/1.jpg?2898,VO144HA4J4VBYNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers,73.79,184.44,"VCF503131NFY, 3 Gas + 1 electric hotplate, Electric oven 50x50 Grey (1YR WRTY)"
https://www.jumia.co.ke/nunix-2-gas-burner-table-top-gcmodel-223092057.html,2 Gas Burner Table Top – GCModel,"KSh 2,530",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/0290322/1.jpg?9315,NU344HA4JQTRCNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,N/A,18.67,2 Gas Burner Table Top – GCModel
https://www.jumia.co.ke/nunix-sc-001-2-burner-table-top-cooker-191549739.html,"SC-001, 2 Burner Table Top Cooker","KSh 1,760",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/7945191/1.jpg?0413,NU344HA37DOT3NAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,N/A,12.99,"SC-001, 2 Burner Table Top Cooker"
https://www.jumia.co.ke/ailyons-lyns-table-top-stainless-steel-2-burner-gas-cooker-plus-6kg-regulator-and-pipe-275395453.html,LYNS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,489",N/A,AILYONS,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/4593572/1.jpg?0833,AI234HA3W6PLPNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,N/A,18.36,LYNS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe
https://www.jumia.co.ke/generic-eurochef-table-top-stainless-steel-2-burner-gas-cooker-plus-6kg-regulator-and-pipe-267793457.html,Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,220",N/A,Generic,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/4397762/1.jpg?4255,GE840HA4JZMOWNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,9.44,16.38,Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe
https://www.jumia.co.ke/von-vcf563131nfs-3-gas-1-electric-hotplate-electric-oven-50x60-silver1yr-wrty-286544179.html,"VCF563131NFS - 3 Gas + 1 Electric Hotplate, Electric Oven 50x60 - Silver (1YR WRTY)","KSh 35,000",N/A,VON,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/1445682/1.jpg?0937,VO144HA4WWU7SNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers,N/A,258.23,"VCF563131NFS - 3 Gas + 1 Electric Hotplate, Electric Oven 50x60 - Silver (1YR WRTY)"
https://www.jumia.co.ke/nunix-50-60cm-cookers-3-gas-1-hotplate-electric-oven-3-gas-electric-oven-1yr-wrty-187877730.html,"50 * 60cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)","KSh 23,625",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/7778781/1.jpg?4254,NU344HA1PSBIUNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers,12.36,174.31,"50 * 60cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)"
https://www.jumia.co.ke/roch-reck-631ss-60x60cm-3-gas-burners-1-hotplate-cooker-silver-1yr-wrty-286925181.html,RECK-631SS - 60x60CM 3 Gas Burners + 1 Hotplate Cooker - Silver (1YR WRTY),"KSh 24,599",N/A,Roch,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/1529682/1.jpg?9099,RO745HA3LVRWONAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Cookers,102.56,181.49,RECK-631SS - 60x60CM 3 Gas Burners + 1 Hotplate Cooker - Silver (1YR WRTY)
https://www.jumia.co.ke/mika-free-standing-cooker50cm-x-60cm3-gas1-hot-plate-button-ignition-electric-oven1year-warranty-269042205.html,"Free Standing Cooker,50cm X 60cm,3 Gas+1 Hot Plate, Button Ignition, Electric Oven+1YEAR WARRANTY","KSh 32,999",N/A,Mika,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/2240962/1.jpg?4623,BR053HA44Z65CNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,272.99,243.47,"Free Standing Cooker,50cm X 60cm,3 Gas+1 Hot Plate, Button Ignition, Electric Oven+1YEAR WARRANTY"
https://www.jumia.co.ke/nunix-3-burner-auto-ignition-table-top-cooker-plus-free-6kg-regulator-and-pipe-262313642.html,3 Burner Auto Ignition Table Top Cooker Plus Free 6kg Regulator And Pipe,"KSh 3,050",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/6313262/1.jpg?3229,EU101HA3PQMN2NAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,N/A,22.50,3 Burner Auto Ignition Table Top Cooker Plus Free 6kg Regulator And Pipe
https://www.jumia.co.ke/nunix-g1007-new-design-infrared-gas-burner-160082067.html,G1007 New Design Infrared Gas Burner,"KSh 2,970",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/0280061/1.jpg?2171,NU344HA2WSW2UNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers,N/A,21.91,G1007 New Design Infrared Gas Burner
https://www.jumia.co.ke/sayona-sgc50e31-go-electric-31-gas-free-standing-cooker-5055-white-267989277.html,"SGC50E31-GO Electric 3+1 Gas Free Standing Cooker, 50*55 White","KSh 19,999",N/A,Sayona,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/2989762/1.jpg?9921,SA537HA4L3H9CNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Cookers,42.05,147.55,"SGC50E31-GO Electric 3+1 Gas Free Standing Cooker, 50*55 White"
https://www.jumia.co.ke/sayona-free-standing-50cm-x-50cm-3-gas-1-electric-cooker60l-gas-ovenwhite-275341792.html,"Free Standing 50CM X 50CM , 3 GAS +1 ELECTRIC Cooker,60L Gas Oven,WHITE","KSh 21,999",N/A,Sayona,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/7143572/1.jpg?6205,SA537HA3SRKQDNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,147.57,162.31,"Free Standing 50CM X 50CM , 3 GAS +1 ELECTRIC Cooker,60L Gas Oven,WHITE"
https://www.jumia.co.ke/roch-reck-631bl-60x60cm-3-gas-burners-1-hotplate-cooker-black-1yr-wrty-286925185.html,"RECK-631BL, 60x60CM 3 Gas Burners + 1 Hotplate Cooker - Black (1YR WRTY)","KSh 24,599",N/A,Roch,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/1529682/1.jpg?9098,RO745HA49P43SNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Cookers,102.56,181.49,"RECK-631BL, 60x60CM 3 Gas Burners + 1 Hotplate Cooker - Black (1YR WRTY)"
https://www.jumia.co.ke/nunix-3gas-1-electric-free-standing-oven-gas-cooker-150769711.html,3gas + 1 Electric Free Standing Oven Gas Cooker,"KSh 24,500",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/7967051/1.jpg?1057,NU344HA1UK6W1NAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,114.35,180.76,3gas + 1 Electric Free Standing Oven Gas Cooker
https://www.jumia.co.ke/sarah-50x50-free-standing-3-gas-pool-jet-burners-1-electric-hotplateelectric-oven-cooker-275342345.html,"50X50 Free Standing 3 Gas Pool Jet Burners + 1 Electric Hotplate,Electric Oven Cooker","KSh 24,799",N/A,Sarah,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/3243572/1.jpg?6236,SA760HA47F1XHNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,171.18,182.97,"50X50 Free Standing 3 Gas Pool Jet Burners + 1 Electric Hotplate,Electric Oven Cooker"
https://www.jumia.co.ke/nunix-table-top-double-burner-gas-stove-cooker-pipe-6-kg-regulator-275968899.html,Table Top Double Burner Gas Stove Cooker + Pipe & 6 kg Regulator,"KSh 2,578",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/8869572/1.jpg?0610,NU344HA4YJM99NAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,13.44,19.02,Table Top Double Burner Gas Stove Cooker + Pipe & 6 kg Regulator
https://www.jumia.co.ke/nunix-free-standing-4-gas-burner-cooker-with-oven-72049297.html,Free Standing 4 Gas Burner Cooker With Oven,"KSh 19,999",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/294027/1.jpg?5113,NU344HA1B7JNVNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,110.67,147.55,Free Standing 4 Gas Burner Cooker With Oven
https://www.jumia.co.ke/eurochef-table-top-stainless-steel-2-burner-gas-cooker-plus-6kg-regulator-and-pipe-205765218.html,Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,779",N/A,Eurochef,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/2567502/1.jpg?6783,EU101HA4NGB3INAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,3.11,20.50,Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe
https://www.jumia.co.ke/nunix-auto-ignition-stainless-steel-2-burner-gas-cooker-163929116.html,Auto Ignition Stainless Steel 2 Burner Gas Cooker,"KSh 2,499",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/1929361/1.jpg?3782,NU344HA2NYX9KNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,14.76,18.44,Auto Ignition Stainless Steel 2 Burner Gas Cooker
https://www.jumia.co.ke/nunix-glass-table-top-double-burner-gas-stove-pipe-regulator-184155917.html,Glass Table Top Double Burner Gas Stove + Pipe & Regulator,"KSh 4,339",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/9551481/1.jpg?2664,NU344HA2UDLFWNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,7.83,32.01,Glass Table Top Double Burner Gas Stove + Pipe & Regulator
https://www.jumia.co.ke/nunix-auto-ignition-table-top-stainless-steel-2-burner-gas-cooker-160201212.html,Auto Ignition Table Top Stainless Steel 2 Burner Gas Cooker,"KSh 2,599",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/2102061/1.jpg?6183,NU344HA205YE6NAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,14.03,19.18,Auto Ignition Table Top Stainless Steel 2 Burner Gas Cooker
https://www.jumia.co.ke/nunix-60x60-31-electric-free-standing-cooker-162032747.html,60x60 3+1 Electric Free Standing Cooker ,"KSh 29,996",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/7230261/1.jpg?2257,NU344HA2W0X5ENAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,394.37,221.31,60x60 3+1 Electric Free Standing Cooker 
https://www.jumia.co.ke/roch-reck-531bl-50x55cm-3-gas-burners-1-hotplate-cooker-black-1yr-wrty-286925182.html,RECK-531BL - 50x55CM 3 Gas Burners + 1 Hotplate Cooker - Black (1YR WRTY),"KSh 22,999",N/A,Roch,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/1529682/1.jpg?9099,RO745HA3RU3YGNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Cookers,106.99,169.69,RECK-531BL - 50x55CM 3 Gas Burners + 1 Hotplate Cooker - Black (1YR WRTY)
https://www.jumia.co.ke/nunix-free-standing-3-gas-1-electric-hotplateelectric-oven-cooker-275342047.html,"Free Standing 3 Gas + 1 Electric Hotplate,Electric Oven Cooker","KSh 24,850",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/0243572/1.jpg?6219,NU344HA4J5AJPNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,170.80,183.34,"Free Standing 3 Gas + 1 Electric Hotplate,Electric Oven Cooker"
https://www.jumia.co.ke/nunix-table-top-double-burner-gas-stove-cooker-free-pipe-regulator-286402331.html,Table Top Double Burner Gas Stove Cooker + FREE  Pipe & Regulator,"KSh 3,690",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/3204682/1.jpg?2694,NU344HA3J074KNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,9.67,27.22,Table Top Double Burner Gas Stove Cooker + FREE  Pipe & Regulator
https://www.jumia.co.ke/generic-household-induction-cooker-energy-saving-cooktop-114297589.html,Household Induction Cooker Energy Saving Cooktop,"KSh 3,880",N/A,Generic,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/5792411/1.jpg?4643,GE840HA3A88Q1NAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Induction Cookers,18.24,28.63,Household Induction Cooker Energy Saving Cooktop
https://www.jumia.co.ke/nunix-3-burner-auto-ignition-table-top-cooker-plus-free-6kg-regulator-and-pipe-276033402.html,3 Burner Auto Ignition Table Top Cooker Plus Free 6kg Regulator And Pipe,"KSh 2,999",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/4330672/1.jpg?3599,NU344HA3N8N8RNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,N/A,22.13,3 Burner Auto Ignition Table Top Cooker Plus Free 6kg Regulator And Pipe
https://www.jumia.co.ke/tc-14-pieces-aluminium-cooking-pot-sufuria-set-89595634.html,14 Pieces Aluminium Cooking Pot Sufuria Set,"KSh 5,750",N/A,TC,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/659598/1.jpg?4255,TO322HA0PZRYMNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,11.77,42.42,14 Pieces Aluminium Cooking Pot Sufuria Set
https://www.jumia.co.ke/nunix-free-standing-31-electric-cooker-with-oven-188477038.html,Free Standing 3+1 Electric Cooker With Oven,"KSh 26,000",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/0774881/1.jpg?7970,NU344HA30ZZHSNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,88.54,191.83,Free Standing 3+1 Electric Cooker With Oven
https://www.jumia.co.ke/ailyons-table-top-gas-cooker2-burner-with-a-strong-glass-281433078.html,"Table Top Gas Cooker,2 Burner With a Strong Glass","KSh 2,795",N/A,AILYONS,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/0334182/1.jpg?3712,AI234HA4QW4EINAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,16.27,20.62,"Table Top Gas Cooker,2 Burner With a Strong Glass"
https://www.jumia.co.ke/von-cooker-3-gas-1-electric-vcf563131nfs-silver-275454589.html,"Cooker 3 Gas + 1 Electric - VCF563131NFS, Silver","KSh 28,699",N/A,VON,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/5454572/1.jpg?4092,VO144HA4XQV5DNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers,83.34,211.74,"Cooker 3 Gas + 1 Electric - VCF563131NFS, Silver"
https://www.jumia.co.ke/premier-4-gas-cooker-plus-shelves-156094295.html,4-Gas Cooker Plus Shelves,"KSh 7,999",N/A,Premier,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/2490651/1.jpg?6830,PR367HA2MT9D5NAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers,23.62,59.02,4-Gas Cooker Plus Shelves
https://www.jumia.co.ke/mika-50cmx-60cm3-gas1-hot-plate-button-ignitionstanding-cooker-electric-oven-269042286.html,"50cmx 60cm,3 Gas+1 Hot Plate, Button Ignition,Standing Cooker Electric Oven","KSh 32,999",N/A,Mika,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/2240962/1.jpg?4643,BR053HA4FOZ1CNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,272.99,243.47,"50cmx 60cm,3 Gas+1 Hot Plate, Button Ignition,Standing Cooker Electric Oven"
https://www.jumia.co.ke/mika-all-gas-free-standing-cooker-50cm-60cm-electric-oven-oven-1-yr-wrty-285674425.html,"All Gas, Free Standing Cooker - 50cm* 60cm, Electric Oven Oven (1 YR WRTY)","KSh 29,999",N/A,Mika,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/4476582/1.jpg?2194,BR053HA46ATUYNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,36.90,221.33,"All Gas, Free Standing Cooker - 50cm* 60cm, Electric Oven Oven (1 YR WRTY)"
https://www.jumia.co.ke/generic-electric-cooker-single-spiral-coil-hotplate-92692100.html,Electric Cooker / Single Spiral Coil Hotplate,KSh 995,N/A,Generic,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/129629/1.jpg?9793,GE840HA002S0TNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Glass-Top,N/A,7.34,Electric Cooker / Single Spiral Coil Hotplate
https://www.jumia.co.ke/sarah-50cm-by-50cm-3-gas-pool-jet-burners-1-hot-plate-free-standing-cooker-with-electric-oven-264678392.html,"50cm by 50cm, 3 Gas Pool Jet Burners + 1 Hot Plate Free Standing Cooker with Electric Oven","KSh 24,799",N/A,Sarah,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/3876462/1.jpg?1634,SA760HA3SKKN2NAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,38.37,182.97,"50cm by 50cm, 3 Gas Pool Jet Burners + 1 Hot Plate Free Standing Cooker with Electric Oven"
https://www.jumia.co.ke/generic-household-induction-cooker-energy-saving-cooktop-232180096.html,Household Induction Cooker Energy Saving Cooktop,"KSh 4,799",N/A,Generic,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/0081232/1.jpg?4583,GE840HA4G5RZVNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Induction Cookers,23.62,35.41,Household Induction Cooker Energy Saving Cooktop
