,Name,Price(kshs),Reviews,Doors,Capacity(ltrs),Brand
340,Syinix 138L Double Door Fridge,34999,0,2,138.0,Syinix
341,DEAL Hisense Fridge 91 Liters Double Door,24999,0,2,91.0,Hisense
342,DEAL Hisense 91L Double Door Fridge REF091DR,24999,0,2,91.0,Hisense
343,"Mika Fridge, 595L, 2 Door Side By Side, No Frost Frost Free, INVERTER Compressor, Inox Line Brush",184000,0,2,595.0,Mika
344,"LG GL-C252SLBB Top Mount Freezer Fridge, 234 L - Smart Inverter Compressor, Multi Air Flow, Movable Ice Tray",86000,0,Not Found,234.0,LG
345,"Mika Single Door Fridge 93Litres Mikas MoistFresh Zone is a smartly designed drawer that provides an optimal environment for storing perishable food, so it stays fresher longer. A tight seal prevents",25650,0,1,93.0,Mika
346,DEAL Hisense Fridge 120Liters Two Door REF120DR,37999,0,2,120.0,Hisense
347,VON VART-19DHS Double Door Fridge 136L - Silver12 MONTHS WARRANTY,49999,0,2,136.0,Von
348,Nunix 92L Single Door Fridge Energy Efficient BC-92,22900,0,1,92.0,Nunix
349,Vitron 90 Litres Single Door Mini-Fridge,20999,0,1,90.0,Vitron
350,LG Fridge Inverter linear compressor GC-B257JLYL LinearCooling 649L Side by Side Refrigerator Smart Inverter Compressor Multi Air Flow Smart Diagnosis,248999,0,Not Found,649.0,LG
351,Hisense Fridge 154 Liters REF154DR2 YEARS WARRANTY,44999,0,Not Found,154.0,Hisense
352,Hisense Fridge 154 Liters REF154DR,44999,0,Not Found,154.0,Hisense
353,Nunix 138L Large Capacity Double Door Fridge -Silver,33499,0,2,138.0,Nunix
354,Nunix 138L Large Capacity Double Door Fridge -BCD-138,33499,0,2,138.0,Nunix
355,LG fridge Large Capacity LINEARCooling GC-B369NLJM Refrigerator advanced Cooling Moist Balance Crisper Smart Diagnosis,112379,0,Not Found,,LG
356,"Roch RFR-110D-B Double Door Fridge, 85L - Silver ideal for family rooms or bedrooms.Equipped with a reversible door system that lets you use the refrigeration in any direction you want",26850,0,2,85.0,Roch
357,"HISENSE Fridge 92L, Direct Cool, Single Door2 YEARS WARRANTY",23999,0,1,92.0,Hisense
358,"HISENSE Fridge, 92L, Direct Cool, Single Door-RS-12DR4SA",23999,0,1,92.0,Hisense
359,"VON VART-18DMY, Double Door Fridge, 138L - Silver",39999,0,2,138.0,Von
361,VON Refrigerator-138 Litres With Top Freezer Fridge..Double Door fridge 138 Litres Direct cooling 4 Star Freezer Rating high cooling efficiency Fruits and vegetable box Elegant recessed handle Toug,46499,0,2,138.0,Von
362,"VON VARS-23DHS, 185L Single Door Fridge",39999,0,1,185.0,Von
363,Nunix 138L Double Door Fridge Energy Efficient BCD-138,31999,0,2,138.0,Nunix
364,Ramtons -90L 1 Door Fridge- Gold,23999,0,1,90.0,Ramtons
365,"Vitron VDR90SS, 90 Liters Single Door Fridge - Silver",23625,0,1,90.0,Vitron
366,RESTOCKED Efficient Cooling for Your Kitchen Nunix BC-92 92L Single Door Fridge,22199,0,1,92.0,Nunix
367,Roch 90ltrs Single Door Fridge,25000,0,1,90.0,Roch
368,"Roch RFR-160DT-B Double Door Fridge, 126L - Silver 1YR WRTY",33999,0,2,126.0,Roch
369,Nunix 92L Single Door Fridge Energy Efficient BC-92,20499,0,1,92.0,Nunix
370,Ramtons RF223-93 Litres Single Door Fridge,31235,0,1,93.0,Ramtons
371,"RAMTONS 90 LITRES DOUBLE DOOR DIRECT COOL FRIDGE, SILVER- RF222",25990,0,2,90.0,Ramtons
372,Royal - RF-230D Double Door Fridge - 206L,42275,0,2,206.0,Royal
374,RAMTONS 517 LITERS DOUBLE DOOR LED NO FROST FRIDGE- RF332,122499,0,2,517.0,Ramtons
