,Name,Price(Kshs),Reviews
36,"Panasonic CF-SZ5: Intel Core i5,G6, 8GB RAM, Windows 10 Pro, IntelR CPU @2.40Ghz4CPUs256G BROM,laptop",11999,29
37,"SEALED LAPTOP OFFERS REFURBISHED HP ELITEBOOK 820 G1 CORE I5 8GB RAM 256GB SSD, 4TH GENERATION 6 MONTHS WARRANTY ,INSTALLED WINDOWS 11",16999,3
38,"[] Toshiba R63 Refurbished Ultra-Slim Laptop - Intel Core i5 7th Gen, 8GB RAM, 256GB SSD | 6-Month Warranty | Affordable Performance & Portability",12999,0
39,Refurbished Lenovo ThinkPad T470s Laptop Intel Core i5 6th Gen 8GB RAM 256GB SSD 14'' Inch Refurbished Laptops Computer Notebook Black,19999,0
40,"LENOVO YOGA 11E 4GB RAM 128GB SSD 2 IN 1 TOUCHSCREEN X360 LAPTOP REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10",10499,0
41,"Refurbished Laptop Lenovo Thinkpad T430 Intel Core i5 3th Gen 4GB+320GB+12.5"" Windows 10 Refurbished Lenovo Laptops Notebook Black 12 inch",13299,2
42,Refurbished Lenovo X270 Ultralight Intel Core i5 7th Gen 8GB RAM 256GB SSD 12.5-Inch FHD Portable Business Laptop,15999,1
43,Hp Refurbished Elitebook 830g6 Core i5 8th Generation 8gb Ram 256gb ssd silver in Color 14inch Screen Size With both Windows and Office Installed Ultra Slim Laptoper in Lo,29000,0
44,"BRAND NEW, TOUCHSCREEN LAPTOP DELL LATITUDE 3190 /4GB RAM 128GB SSD /WINDOWS 11 PRO/ 12 INCH +FREE MOUSE",13999,6
45,"BLACK FRIDAY+FREE MOUSE Refurbished Hp EliteBook 820 G2 | Core i5 | 8GB RAM | 500GB HDD 5TH GENERATION, 6 Months Warranty Laptop Computer | Notebook Black 12.5 Inches",16999,0
46,"HP Elitebook 8460 Laptop Core i5 8GB RAM / 500GB HDD Computer Laptop,windows 10 pro +free mouse ,Silver 14 inch",13499,34
47,"i5+16GB+500GB+Free MouseRefurbished Hp Probook 430 G3 Laptop i5 6th 16GB RAM 500GB HDD ROM 13.3"" Windows 11 Notebook Bluetooth Webcam refurbished hp laptops",22999,3
48,"REFURBISHED DELL LATITUDE 6420 LAPTOP CORE INTEL I5 4GBRAM 500GB HDD 14 INCH , INSTALLED WINDOWS 10 PRO",12999,0
49,"Touchscreen Refurbished HP ProBook 11 G4 X360 Intel Core i5-8th Gen Processor 8GB RAM 256GB SSD Solid State Drive11.6-inch Display, 2-in-1 Refurbished Laptop PC Notebook ComputerBluetooth",18499,0
50,"REFURBISHED DELL LATITUDE 6330 LAPTOP CORE INTEL I5 4 GBRAM 500GB HDD 6 MONTHS WARRANTY 14 INCH , INSTALLED WINDOWS 10 PRO",12499,0
51,Lowest Lenovo Thinkpad Yoga 11e X360 Celeron 4GB RAM + 500GB HDD Refurbished Laptop Touchscreen 11.6 Inch Screen Size Laptops With Windows and Office Installed Computer,10899,1
52,"BLACK FRIDAY OFFERS HP EliteBook x360 1040 G7 10th Generation Intel Core i7-10710U 16GB RAM 512GB SSD 14-In FHD Touchscreen ,laptop computer,sleek +FREE BAG |WINDOS |14''|REFURBISHED",58000,0
53,Core i7+8GB+128GB SSDRefurbished Dell Latitude 7240 Laptop |Intel Core i7 | 8GB RAM | 128GB SSD Original Computer | Notebook | 12.5 Inch Display Bluetooth Webcam |Windows 11 | Office 2019,18999,0
54,Lenovo ThinkPad X270 Intel Core I5-Refurbished-8GB RAM 256GB SSD Windows 10 Pro Laptop,19999,0
55,i5+8GB+512GB SSD+ MouseRefurbished Lenovo Thinkpad X260 Laptop i5 8GB 512GB SSD 2.40 Ghz 12.5 Inches FHD Windows 11 Intel HD Graphics Bluetooth Webcam,20999,1
