name,discounted_price,previous_price,discount_%,id,brand,rating,reviews_count,link
Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,779","KSh 3,200",13%,EU101HA4NGB3INAFAMZ,Eurochef,3.8,"<div class=""rev""><div class=""stars _s"">3.8 out of 5<div class=""in"" style=""width:76%""></div></div>(6)</div>",https://www.jumia.co.ke/eurochef-table-top-stainless-steel-2-burner-gas-cooker-plus-6kg-regulator-and-pipe-205765218.html
60x60 3+1 Electric Free Standing Cooker ,"KSh 29,996","KSh 83,448",64%,NU344HA2W0X5ENAFAMZ,Nunix,4.3,"<div class=""rev""><div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>(14)</div>",https://www.jumia.co.ke/nunix-60x60-31-electric-free-standing-cooker-162032747.html
Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe -rsnk,"KSh 2,349",,,RA589HA459B7DNAFAMZ,Rashnik,4.5,"<div class=""rev""><div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>(2)</div>",https://www.jumia.co.ke/rashnik-table-top-stainless-steel-2-burner-gas-cooker-plus-6kg-regulator-and-pipe-rsnk-290279605.html
Glass Table Top Double Burner Gas Stove + Pipe & Regulator,"KSh 4,339","KSh 5,400",20%,NU344HA2UDLFWNAFAMZ,Nunix,4.8,"<div class=""rev""><div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>(5)</div>",https://www.jumia.co.ke/nunix-glass-table-top-double-burner-gas-stove-pipe-regulator-184155917.html
"Cooker 3 Gas + 1 Electric - VCF563131NFS, Silver","KSh 39,995",,,VO144HA4XQV5DNAFAMZ,VON,4.5,"<div class=""rev""><div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>(2)</div>",https://www.jumia.co.ke/von-cooker-3-gas-1-electric-vcf563131nfs-silver-275454589.html
"50cmx 60cm,3 Gas+1 Hot Plate, Button Ignition,Standing Cooker Electric Oven","KSh 32,999","KSh 70,000",53%,BR053HA4FOZ1CNAFAMZ,Mika,5.0,"<div class=""rev""><div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>(2)</div>",https://www.jumia.co.ke/mika-50cmx-60cm3-gas1-hot-plate-button-ignitionstanding-cooker-electric-oven-269042286.html
Auto Ignition 4Gas Cooker With Storage shelves+GIFTS,"KSh 9,999","KSh 16,000",38%,PR367HA1P9J0MNAFAMZ,Premier,1.0,"<div class=""rev""><div class=""stars _s"">1 out of 5<div class=""in"" style=""width:20%""></div></div>(1)</div>",https://www.jumia.co.ke/premier-auto-ignition-4gas-cooker-with-storage-shelvesgifts-162110920.html
"60X60 3Gas + 1 Electric Standing Cooker With Electric Oven, Silver (2YRS WRTY)","KSh 28,299","KSh 40,000",29%,VI799HA3HZQWBNAFAMZ,Vision Plus,5.0,"<div class=""rev""><div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>(1)</div>",https://www.jumia.co.ke/vision-plus-60x60-3gas-1-electric-standing-cooker-with-electric-oven-silver-2yrs-wrty-291891611.html
3 +1 ( 3 gas +1 electric) Automatic Standing Burner ,"KSh 9,599","KSh 11,000",13%,NU344HA3PO2AVNAFAMZ,Nunix,3.7,"<div class=""rev""><div class=""stars _s"">3.7 out of 5<div class=""in"" style=""width:74%""></div></div>(7)</div>",https://www.jumia.co.ke/nunix-3-1-3-gas-1-electric-automatic-standing-burner-255611542.html
Glass Table Top Double Burner Gas Stove + Pipe & Regulator,"KSh 3,645","KSh 5,000",27%,AI234HA4P7BMONAFAMZ,AILYONS,,,https://www.jumia.co.ke/ailyons-glass-table-top-double-burner-gas-stove-pipe-regulator-286769148.html
4 burner full gas table top cooker ,"KSh 4,499","KSh 8,450",47%,NU344HA38MFWHNAFAMZ,Nunix,1.7,"<div class=""rev""><div class=""stars _s"">1.7 out of 5<div class=""in"" style=""width:34%""></div></div>(3)</div>",https://www.jumia.co.ke/nunix-4-burner-full-gas-table-top-cooker-179428859.html
Table Top Double Burner Gas Stove Cooker + FREE  Pipe & Regulator,"KSh 3,690","KSh 5,000",26%,NU344HA3J074KNAFAMZ,Nunix,,,https://www.jumia.co.ke/nunix-table-top-double-burner-gas-stove-cooker-free-pipe-regulator-286402331.html
"Table Top Gas Cooker,2 Burner With a Strong Glass","KSh 2,795","KSh 5,000",44%,AI234HA4QW4EINAFAMZ,AILYONS,,,https://www.jumia.co.ke/ailyons-table-top-gas-cooker2-burner-with-a-strong-glass-281433078.html
2 burner infra-red glass tampered table top burner with ,"KSh 3,999","KSh 5,000",20%,NU344HA4EQ9DHNAFAMZ,Nunix,4.8,"<div class=""rev""><div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>(4)</div>",https://www.jumia.co.ke/nunix-2-burner-infra-red-glass-tampered-table-top-burner-with-233540666.html
Electric Cooker / Single Spiral Coil Hotplate,KSh 995,,,GE840HA002S0TNAFAMZ,Generic,4.0,"<div class=""rev""><div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>(1)</div>",https://www.jumia.co.ke/generic-electric-cooker-single-spiral-coil-hotplate-92692100.html
14 Pieces Aluminium Cooking Pot Sufuria Set,"KSh 5,750","KSh 7,345",22%,TO322HA0PZRYMNAFAMZ,TC,2.5,"<div class=""rev""><div class=""stars _s"">2.5 out of 5<div class=""in"" style=""width:50%""></div></div>(4)</div>",https://www.jumia.co.ke/tc-14-pieces-aluminium-cooking-pot-sufuria-set-89595634.html
Strong Non-leak Meko Gas Burner,KSh 780,"KSh 1,200",35%,GE840HA0P7N4WNAFAMZ,Generic,4.5,"<div class=""rev""><div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>(62)</div>",https://www.jumia.co.ke/strong-non-leak-meko-gas-burner-generic-mpg341091.html
Auto Ignition Table Top Stainless Steel 2 Burner Gas Cooker,"KSh 2,599","KSh 4,500",42%,NU344HA205YE6NAFAMZ,Nunix,5.0,"<div class=""rev""><div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>(1)</div>",https://www.jumia.co.ke/nunix-auto-ignition-table-top-stainless-steel-2-burner-gas-cooker-160201212.html
Household Induction Cooker Energy Saving Cooktop,"KSh 4,799","KSh 8,000",40%,GE840HA4G5RZVNAFAMZ,Generic,,,https://www.jumia.co.ke/generic-household-induction-cooker-energy-saving-cooktop-232180096.html
