,Name,Price,Reviews,Screen_size
45,"BRAND NEW, TOUCHSCREEN LAPTOP DELL LATITUDE 3190 /4GB RAM 128GB SSD /WINDOWS 11 PRO/ 12 INCH +FREE MOUSE","KSh 13,999",6,12.0
46,Refurbished Lenovo X270 Ultralight Intel Core i5 7th Gen 8GB RAM 256GB SSD 12.5-Inch FHD Portable Business Laptop,"KSh 15,999",1,
47,Hp Refurbished Elitebook 830g6 Core i5 8th Generation 8gb Ram 256gb ssd silver in Color 14inch Screen Size With both Windows and Office Installed Ultra Slim Laptoper in Lo,"KSh 29,000",0,14.0
48,"FREE MOUSE Refurbished Hp EliteBook 820 G2 | Core i5 | 8GB RAM | 500GB HDD 5TH GENERATION, 6 Months Warranty Laptop Computer | Notebook Black 12.5 Inches","KSh 16,999",0,12.5
49,Core i5+8gb+256gb+14'' Refurbished Lenovo Thinkpad T460 Laptop Core i5 6TH Gen 8GB RAM / 256GB SSD Laptops 14 inch Computer Notebook,"KSh 15,999",0,14.0
50,"i5+16GB+500GB+Free MouseRefurbished Hp Probook 430 G3 Laptop i5 6th 16GB RAM 500GB HDD ROM 13.3"" Windows 11 Notebook Bluetooth Webcam refurbished hp laptops","KSh 22,999",3,13.3
51,"REFURBISHED DELL LATITUDE 6420 LAPTOP CORE INTEL I5 4GBRAM 500GB HDD 14 INCH , INSTALLED WINDOWS 10 PRO","KSh 12,999",0,14.0
52,"Touchscreen Refurbished HP ProBook 11 G4 X360 Intel Core i5-8th Gen Processor 8GB RAM 256GB SSD Solid State Drive11.6-inch Display, 2-in-1 Refurbished Laptop PC Notebook ComputerBluetooth","KSh 18,499",0,
53,"REFURBISHED DELL LATITUDE 6330 LAPTOP CORE INTEL I5 4 GBRAM 500GB HDD 6 MONTHS WARRANTY 14 INCH , INSTALLED WINDOWS 10 PRO","KSh 12,499",0,14.0
54,Lenovo Thinkpad Yoga 11e X360 Celeron 4GB RAM + 500GB HDD Refurbished Laptop Touchscreen 11.6 Inch Screen Size Laptops With Windows and Office Installed Computer,"KSh 10,899",1,11.6
55,Core i7+8GB+128GB SSDRefurbished Dell Latitude 7240 Laptop |Intel Core i7 | 8GB RAM | 128GB SSD Original Computer | Notebook | 12.5 Inch Display Bluetooth Webcam |Windows 11 | Office 2019,"KSh 18,999",0,12.5
56,"BLACK HP EliteBook x360 1040 G7 10th Generation Intel Core i7-10710U 16GB RAM 512GB SSD 14-In FHD Touchscreen ,laptop computer,sleek +FREE BAG |WINDOS |14''|REFURBISHED","KSh 58,000",0,14.0
