cooktop_name,cooktop_reviews,cooktop_price
"Super Sale!】AILYONS/LYONS GS014-4 Glass Top Infrared Double Burner Gas stove Super Infrared Heater Saving Gas cooker Black



Glass top double swirl burner saving 20% gas 

Auto ignition system 

dura",(0),"KSh 3,131"
Eurochef Portable Quality Electric Counter Double Cooker,(2),"KSh 2,400"
AILYONS GS017 Gas Cooker Double Burner Stainless Steel Table Top,(0),"KSh 1,999"
Eurochef Durable Table Top Single Burner Gas Cooker EG-S01,(4),"KSh 1,090"
Nunix 2 Burner Stainless Steel Gass Cooker SS-001,(0),"KSh 2,130"
Generic Electric Cooker-hot Plate(double Burner,(3),"KSh 2,150"
Generic Cooker Coil Electric Spiral Cooker Coil Heating Element,(0),KSh 549
Nunix 2 Burner Stainless Steel Gass Cooker SS-001,(0),"KSh 2,130"
Electric Cooker / Single Spiral Coil Hotplate This Single Burner is Small and Compact Perfect for Travel. Can Be Used for Cooking Outdoors or in the Office. Can Be Used,(0),"KSh 1,098"
"Gas Burner With Grill For 3kg And 6kg Cylinder. Running on a matchstick ignition system, this cooker does not require batteries.",(1),"KSh 1,200"
"Nunix 3 Burner Auto Ignition Table Top Cooker
Rustle up your favorite recipes with this newly designed Sayona automatic gas cooker that comes in a temper glass surface.",(9),"KSh 2,580"
Generic Single Spiral Coil Hotplate /Electric Hotplate,(1),KSh 890
Nunix 4 Gas Burner Table Top Cooker,(2),"KSh 4,000"
KILLMALL BLACK FRIDAY SPECIAL OFFERS. Nunix 2 Gas Burner Stainless Steel Cooker With Free 6kg regulator and 1m a pipe,(0),"KSh 2,699"
Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,(1),"KSh 2,299"
ELECTRIC cooker  Double Spiral Electric Hotplate-Cooker/burner cookware,(12),"KSh 1,700"
"3 Burner Auto Ignition Glass Top,Low Gas Consumption",(21),"KSh 4,580"
Nunix Table Top Double Burner Gas Stove Cooker + Pipe & Regulator,(1),"KSh 2,599"
"2 burner Amaze stainless hob cooker quality,long lasting and beautiful products that are easy and safe to use",(0),"KSh 5,920"
