product_name,product_reviews,product_price
"VITRON 43"" INCH TV HTC4388FS BLUETOOTH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM+3 FREE GIFTS",(8),"KSh 21,299"
"GLD 50 Inch 4K UHD Smart Frameless Televisions Android LED TV(LE50Q6UD-SA),Bluetooth-USB 2-HDMI 3-Googleplay NETFLIX YOUTUBE",(32),"KSh 35,499"
EOCO E-2600 Smart Bluetooth AC/DC TV Original 1080P Netflix Youtube Android 14 Energy Saving Televison 1G+8G with 12 Months Warranty,(9),"KSh 8,899"
"VITRON HTC4388FS 43"" INCH BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE  43 INCH BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM + 4 EXTRA ACCESSORIES",(2),"KSh 20,895"
"CTC 23'' Digital LED TV ,USB,HDMI PORT,23"" INCHES,DECODER,AC/DC.",(4),"KSh 6,799"
"Amtec 32R1S 32"" inch Bluetooth enabled Television Smart Android TV Digital TV Inbuilt Decoder Built-in WIFI Appstore 1GB DDR,8GB RAM,4-CORE LED TV+ 8 FREE GIFTS",(45),"KSh 13,995"
"BLUETOOTH VITRON 43"" INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE 4 GIFTS",(1),"KSh 20,999"
"GLD 43"" inch TV Smart Android TV Bluetooth Connectivity Television, Inbuilt Decoder Netflix Youtube VGA HDMI USB Wide Color Enhancer + FREE TV GUARD+BRACKET",(5),"KSh 20,395"
"BLUETOOTH VITRON HTC4388FS , 43"" INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE 6 GIFTS",(5),"KSh 21,999"
"VISION PLUS 43"" inch FRAMELESS Full HD Smart Android TV BLUETOOTH Enabled,NETFLIX,YOUTUBE Inbuilt Decoder VP8843SF Dolby Audio WifiBuilt-in DVBT2/S2 Screen-Share + 8  FREE GIFTS",(28),"KSh 24,995"
"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14MONTHS WARRANTY+ FREE WALL BRACKET",(2),"KSh 12,390"
"GLD 32"" Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTS+WIFI ACCESS + 6 EXTRA ACCESSORIES",(1),"KSh 13,880"
"VITRON HTC5068US 50"" Inch FRAMELESS INBUILT DEDODER 4K UHD Android Bluetooth TV BUILT-IN WIFI 1.5GBRAM,8GBROM Youtube,Netflix APPSTORE + 6 EXTRA GIFTS",(19),"KSh 35,995"
"VISION PLUS 43"" inch FRAMELESS Full HD Smart Android TV BLUETOOTH,NETFLIX,YOUTUBE Inbuilt Decoder Dolby Audio WifiBuilt-in DVBT2/S2 Screen-Share + 6 EXTRA  ACCESSORIES",(6),"KSh 24,895"
"VISION Plus 32"" inch VP8832SF FRAMELESS HD Smart Android TV BLUETOOTH,App Store ,NETFLIX,YOUTUBE Inbuilt decoder  DVBT2/S2 Screen Share + 8 Free Gifts",(11),"KSh 15,995"
"TCL P635- 43"" Inch,FRAMELESS, 4K Ultra HD Smart LED Google/Android TV,Bluetooth-Enabled++FREE WALL BRACKET+TV GUARD+2 YEARS WARRANTY",(1),"KSh 32,999"
"VITRON HTC3218 32"" INCH FRAMELESS HD DIGITAL TV WITH INBUILT DECODER FOR  FREE to Air Channels 14 Months Warranty+FREE AERIAL+WALL BRACKET+ TV GUARD",(0),"KSh 12,799"
