product_name,product_reviews,product_price,clean_product_name,description,brand,size
"Vision Plus 32 inch digital frameless Television VP8832DF  HD TV, Dolby Audio Slim Design  HDMI and USB ports optimized Connectivity 2 years warranty",(203),"KSh 11,499","Vision Plus 32 inch digital frameless Television VP8832DF  HD TV, Dolby Audio Slim Design  HDMI and USB ports optimized Connectivity 2 years warranty","Plus  digital frameless Tele VP8832DF  HD TV, Dolby Audio Slim Design  HDMI and USB ports optimized Connectivity 2 years warranty",Vision,32
(Special Offer)Artel 43 inch Frameless Bluetooth Smart TV(43AT4201)Netflix Youtube Android AC Energy Saving Televison 1G+8G,(132),"KSh 18,299",Special OfferArtel 43 inch Frameless Bluetooth Smart TV43AT4201Netflix Youtube Android AC Energy Saving Televison 1G8G,OfferArtel  Frameless Bluetooth Smart TV43AT4201Netflix Youtube Android AC Energy Saving Televison 1G8G,Special,43
LYONS 43 Inch  Blutooth Frameless Smart TV HD with Netflix TV YouTube  Android  Energy Saving LES4304W Wide Visual Angle Television Tv leg/stands Television Smart TVS 1G+8G,(19),"KSh 18,399",LYONS 43 Inch  Blutooth Frameless Smart TV HD with Netflix TV YouTube  Android  Energy Saving LES4304W Wide Visual Angle Television Tv legstands Television Smart TVS 1G8G,Blutooth Frameless Smart TV HD with Netflix TV YouTube  Android  Energy Saving LES4304W Wide Visual Angle Television Tv legstands Television Smart TVS 1G8G,LYONS,43
"Artel 32 inch Frameless Digital TV(AT32D) with 14 Months Warranty,AC Energy Saving Televison",(33),"KSh 10,399","Artel 32 inch Frameless Digital TVAT32D with 14 Months Warranty,AC Energy Saving Televison","Frameless Digital TVAT32D with 14 Months Warranty,AC Energy Saving Televison",Artel,32
EOCO E-2400 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,(1),"KSh 6,699",EOCO E-2400 Digital ACDC TV Original 1080P Energy Saving Televison with 12 Months Warranty,E-2400 Digital ACDC TV Original 1080P Energy Saving Televison with 12 Months Warranty,EOCO,
"Vitron HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION 32 Inch Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3*HDMI Ports,2*USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi +  7 EXTRA ACCESSORIES",(27),"KSh 13,980","Vitron HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION 32 Inch Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3HDMI Ports,2USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi   7 EXTRA ACCESSORIES","HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION  Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3HDMI Ports,2USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi   7 EXTRA ACCESSORIES",Vitron,32
"BLUETOOTH-ENABLED VITRON 43"" INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+6 FREE GIFTS",(11),"KSh 22,699","BLUETOOTH-ENABLED VITRON 43 INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI6 FREE GIFTS","VITRON  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI6 FREE GIFTS",BLUETOOTH-ENABLED,43
"Vitron HTC3200S 32"" Inch BLUETOOTH TV FRAMELESS Smart Android TV with Inbuilt Decoder Inbuilt WIFI,Netflix,Youtube Google Appstore 14 Months Warranty + 7 FREE GIFTS",(626),"KSh 13,945","Vitron HTC3200S 32 Inch BLUETOOTH TV FRAMELESS Smart Android TV with Inbuilt Decoder Inbuilt WIFI,Netflix,Youtube Google Appstore 14 Months Warranty  7 FREE GIFTS","HTC3200S  BLUETOOTH TV FRAMELESS Smart Android TV with Inbuilt Decoder Inbuilt WIFI,Netflix,Youtube Google Appstore 14 Months Warranty  7 FREE GIFTS",Vitron,32
"Vitron 32"" Inch TELEVISION HTC3218 HD LED Digital FRAMELESS TV WITH INBUILT DECODER FOR LOCAL CHANNELS 2*USB 3*HDMI PORTS plus A FREE AERIAL+BRACKET+EXTENSION",(16),"KSh 11,999",Vitron 32 Inch TELEVISION HTC3218 HD LED Digital FRAMELESS TV WITH INBUILT DECODER FOR LOCAL CHANNELS 2USB 3HDMI PORTS plus A FREE AERIALBRACKETEXTENSION,TELEVISION HTC3218 HD LED Digital FRAMELESS TV WITH INBUILT DECODER FOR LOCAL CHANNELS 2USB 3HDMI PORTS plus A FREE AERIALBRACKETEXTENSION,Vitron,32
"VITRON HTC3200S - 32"" Inch Frameless Smart Android TV Inbuilt WIFI,Bluetooth -Netflix,Youtube Television+7 FREE GIFTS",(566),"KSh 13,950","VITRON HTC3200S - 32 Inch Frameless Smart Android TV Inbuilt WIFI,Bluetooth -Netflix,Youtube Television7 FREE GIFTS","HTC3200S -  Frameless Smart Android TV Inbuilt WIFI,Bluetooth -Netflix,Youtube Television7 FREE GIFTS",VITRON,32
