product_id,name,rating,reviews,current_price,previous_price
SKU ID: 16093045,"VISION PLUS 43"" inch FRAMELESS Full HD Smart Android TV BLUETOOTH Enabled,NETFLIX,YOUTUBE Inbuilt Decoder VP8843SF Dolby Audio WifiBuilt-in DVBT2/S2 Screen-Share + 8  FREE GIFTS",5.0,0 Customer reviews,"KSh 24,995","KSh28,000"
SKU ID: 10002016412,"Solarmax 22 inches Digital TV AC / DC Solar TV Full HD , VGA , HDMI , USB , Free to Air",5.0,0 Customer reviews,"KSh 5,999","KSh7,500"
SKU ID: 10001198386,"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14MONTHS WARRANTY+ FREE WALL BRACKET",5.0,0 Customer reviews,"KSh 12,390","KSh24,000"
SKU ID: 18085706,"GLD 50 Inch 4K UHD Smart Frameless Televisions Android LED TV(LE50Q6UD-SA),Bluetooth-USB 2-HDMI 3-Googleplay NETFLIX YOUTUBE",5.0,0 Customer reviews,"KSh 35,499","KSh 45,000"
SKU ID: 10001362145,"GLD 32"" Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTS+WIFI ACCESS + 6 EXTRA ACCESSORIES",5.0,0 Customer reviews,"KSh 13,880","KSh16,700"
SKU ID: 10001181284,"TCL P635- 43"" Inch,FRAMELESS, 4K Ultra HD Smart LED Google/Android TV,Bluetooth-Enabled++FREE WALL BRACKET+TV GUARD+2 YEARS WARRANTY",5.0,0 Customer reviews,"KSh 32,999","KSh60,000"
SKU ID: 19605903,"VISION Plus 32"" inch VP8832SF FRAMELESS HD Smart Android TV BLUETOOTH,App Store ,NETFLIX,YOUTUBE Inbuilt decoder  DVBT2/S2 Screen Share + 8 Free Gifts",5.0,0 Customer reviews,"KSh 15,995","KSh20,000"
SKU ID: 10001172235,"VITRON HTC3218 32"" INCH FRAMELESS HD DIGITAL TV WITH INBUILT DECODER FOR  FREE to Air Channels 14 Months Warranty+FREE AERIAL+WALL BRACKET+ TV GUARD",5.0,0 Customer reviews,"KSh 12,799","KSh24,000"
SKU ID: 19307666,"VITRON HTC5068US 50"" Inch FRAMELESS INBUILT DEDODER 4K UHD Android Bluetooth TV BUILT-IN WIFI 1.5GBRAM,8GBROM Youtube,Netflix APPSTORE + 6 EXTRA GIFTS",5.0,0 Customer reviews,"KSh 35,995","KSh46,000"
SKU ID: 18393463,VITRON HTC2446 24 INCHES HD Digital AC/DC LED TV INBUILT DECODER(for local channels) Multiple HDMI Output and USB AV ports  Wide Color Enhancer+ 3 FREE GIFTS,5.0,0 Customer reviews,"KSh 9,999","KSh15,000"
SKU ID: 19550100,"VITRON 43"" INCH TV HTC4388FS BLUETOOTH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM+FREE WALL BRACKET+HEAVYDUTY EXTENSION",5.0,0 Customer reviews,"KSh 20,995","KSh26,500"
SKU ID: 10001011984,"TCL 50 INCH SMART TV 50V6B 50'' 4K UHD,Google TV,Frameless- YOUTUBE, NETFLIX-BLUETOOTH NEW MODEL",5.0,0 Customer reviews,"KSh 44,299","KSh 550,000"
SKU ID: 19360558,"AMTEC 43"" inch TV Bluetooth Enabled Frameless 43L12 Television Full HD Smart Android TV Built-in WIFI, Inbuilt Decoder 3*HDMI 2*USB Ports WideColor+ 8 FREE GIFTS",5.0,0 Customer reviews,"KSh 21,795","KSh26,500"
SKU ID: 10001155406,"Vitron 50"" INCH SMART ULTRA HD 4K SCREEN TV,BLUETOOTH-TILT BRACKET+GUARD+14 MONTHS WARRANTY",5.0,0 Customer reviews,"KSh 35,999","KSh70,000"
SKU ID: 10000315784,"Vitron HTC4388FS- 43"" Inch,BLUETOOTH-ENABLED,FRAMELESS ,FRAMELESS Smart Android 11 TV ,DECODER-INBUILT,Netflix,Youtube,Playstore +6 FREE EXTRA GIFTS",5.0,0 Customer reviews,"KSh 21,999","KSh40,000"
SKU ID: 10001049538,"MG 32 Inch Television Frameless Digital HD LED TV With Decoder with One Year Waranty Plus FREE Wall Mount, Flash Disk, Bracket, Tv Guard, aerial and socket extensions",5.0,0 Customer reviews,"KSh 12,600","KSh13,500"
SKU ID: 17478877,"Skyworth 43” inch 43E FRAMELESS FHD ANDROID AI TV,Built-in WI-FI,NETFLIX,YOUTUBE,GOOGLE ASSITANT Playstore OK GOOGLE TV Bluetooth Enabled Inbuilt Decoder+ 8 FREE GIFTS",5.0,0 Customer reviews,"KSh 28,995","KSh35,000"
SKU ID: 10001604815,"CTC 19"" With Inbuilt Free To Air Decorder",5.0,0 Customer reviews,"KSh 5,499","KSh6,000"
SKU ID: 10001556434,"TCL 55'' Inch V6B 2024 Model Smart UHD 4K Frameless LED TV, YouTube, Netflix ,Prime video,DSTV,Google tv-Smart tvs",5.0,0 Customer reviews,"KSh 49,499","KSh60,000"
SKU ID: 10000343361,"Hisense 32"" inch VIDAA OS Full HD FRAMELESS Smart  TV Inbuilt WIFI  Dobly Audio Inbuilt Decoder Wide Color Enhancer 24 Months Warranty + 8 Free Gifts",5.0,0 Customer reviews,"KSh 21,999","KSh26,000"
