clean_product_name,brand,size,tv_type,product_reviews,product_price
"VITRON 43 INCH BLUETOOTH TV HTC4388FS FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROMFREE TV GUARD WALL BRACKET",vitron,43,smart,38,20999
"VITRON BLUETOOTH-ENABLED 32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI 14MONTHS WARRANTY 6 FREE GIFTS",vitron,32,smart,6,13390
EOCO 43 inch Frameless Bluetooth Smart TV43EO4202SNetflix Youtube Android AC Energy Saving Televison 1G8G,eoco,43,smart,0,17999
CTC 23 INCH LED DIGITAL TV With Inbuilt Decorder,ctc,,digital,2,6750
"TCL 43 Inch-S5400-BLUETOOTH TV,FUL HD-Smart  Digital ANDROIDGOOGLE TELEVISION,DOLBY AUDIO,FRAMELESS-NETFLIX-YOUTUBE6 FREE GIFTS",tcl,43,smart,0,30999
AMTEC 24V22 24 inch 12V HD Digital TV LED TV ACDC VGA Port Television Slim Design Inbuilt Decoder HD Clear Images USB HDMI ports Wide Color Enhancer,vision,24,digital,3,7695
"Vitron HTC5568S,55 inch FRAMELESS- 4K ULTRA HD Smart Digital - Android 11 TV, Netflix, Youtube Bluetooth360 BRACKETTV GUARD14 MONTHS WARRANTY",vitron,55,smart,2,43999
"Vitron HTC4388FS,43 Inch,BLUETOOTH-ENABLED,FRAMELESS,Smart Android 11.0 TV WIFI Netflix,Youtube,Playstore TelevisionFREE 7 GIFTS14 MONTHS WARRANTY",vitron,43,smart,102,22889
"VITRON HTC3200S - 32 Inch ,BLUETOOTH-ENABLED,FRAMELESS Smart Android 11.0 TV Inbuilt WIFI HDMIS,USB,Netflix,Youtube,Playstore Television",vitron,32,smart,93,13889
Artel 40 inch Frameless Bluetooth Smart TVAT40EL01Netflix Youtube Android AC Energy Saving Televison 1G8G,artel,40,smart,1,16599
"CTC 42 Inch Android Smart TV HD Television with 24 Months WarrantyCTC42F1S Multi-screen, HDMI, Android 11.0, USB 2.0, Eco friendly, Narrow Bezel, DVB-T2, YouTube, Netflix, Prime Video",vision,24,smart,1,17899
"Hisense 43 Inch A6 series,BLUETOOTH TV, Smart ULTRA HD 4K HDR Frameless,Netflix-Youtube LED TV,DOLBY AUDIO6 FREE GIFTS",hisense,43,smart,9,34999
EOCO E-2600 Digital ACDC TV Original 1080P Energy Saving Televison with 12 Months Warranty,eoco,26,digital,0,7899
"Solarmax 22 inches Digital TV AC  DC Solar TV Full HD , VGA , HDMI , USB , Free to Air",solarmax,22,digital,0,5999
