product_name,product_reviews,product_price,clean_product_name,brand,size,tv_type
"Vitron HTC4068S, Frameless 40"" Inch Bluetooth Enabled Smart Android TV AppStore ,Inbuilt Decoder NETFLIX,YOUTUBE-WIFI Television 14 Months Warranty + 6 Extra Accessories",(13),"KSh 19,795","Vitron HTC4068S, Frameless 40 Inch Bluetooth Enabled Smart Android TV AppStore ,Inbuilt Decoder NETFLIX,YOUTUBE-WIFI Television 14 Months Warranty  6 Extra Accessories",vitron,40,smart
ROYAL D Series Frameless 32 Inch Smart TV (LE3200D2- SA) HD READY Ready With Inbuilt Decorder Supports USB HDMI YOUTUBE NETFLIX With Remote Control,(4),"KSh 13,899",ROYAL D Series Frameless 32 Inch Smart TV LE3200D2- SA HD READY Ready With Inbuilt Decorder Supports USB HDMI YOUTUBE NETFLIX With Remote Control,Unknown,32,smart
"Hisense Frameless Smart TV ,Bezelless Design, Natural Colour Enhancer. Noise Reduction,DTS Virtual X,Vidaa Smart OS,WiFi Built in.-2yr Warranty (43A4K)",(0),"KSh 29,999","Hisense Frameless Smart TV ,Bezelless Design, Natural Colour Enhancer. Noise Reduction,DTS Virtual X,Vidaa Smart OS,WiFi Built in.-2yr Warranty 43A4K",hisense,43,smart
"Hisense 43A4H A4 Series 43-Inch Class FHD Smart VIDAA TV with DTS Virtual X, Game & Sports Modes, Chromecast Built-in, Alexa Compatibility FHD Smart VIDAA TV with DTS Virtual X, Game & Sports Modes, C",(21),"KSh 32,989","Hisense 43A4H A4 Series 43-Inch Class FHD Smart VIDAA TV with DTS Virtual X, Game  Sports Modes, Chromecast Built-in, Alexa Compatibility FHD Smart VIDAA TV with DTS Virtual X, Game  Sports Modes, C",hisense,43,smart
Euroken 24' inches led digital television with ibuilt decorder and clear images,(0),"KSh 7,999",Euroken 24 inches led digital television with ibuilt decorder and clear images,vision,24,digital
"Amtec 32R1S 32"" inch AC/DC Bluetooth enabled Television Smart Android TV Digital TV Inbuilt Decoder Built-in WIFI Appstore 1GB DDR,8GB RAM,4-CORE LED TV+ 8 FREE GIFTS",(0),"KSh 14,540","Amtec 32R1S 32 inch ACDC Bluetooth enabled Television Smart Android TV Digital TV Inbuilt Decoder Built-in WIFI Appstore 1GB DDR,8GB RAM,4-CORE LED TV 8 FREE GIFTS",vision,32,smart
VITRON 24 INCH HTC2446 HD Digital TELEVISION LED TV AC/DC With HDMI Output  and USB VGA AV ports INBUILT DECODER ELECTRONICS WIDE COLOR ENHANCER+FREE TV GUARD,(6),"KSh 9,495",VITRON 24 INCH HTC2446 HD Digital TELEVISION LED TV ACDC With HDMI Output  and USB VGA AV ports INBUILT DECODER ELECTRONICS WIDE COLOR ENHANCERFREE TV GUARD,vitron,24,digital
"BLUETOOTH VITRON HTC4388FS 43"" INCH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI PORTS + 7 FREE GIFTS",(0),"KSh 23,499","BLUETOOTH VITRON HTC4388FS 43 INCH  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI PORTS  7 FREE GIFTS",vitron,43,smart
EOCO E-2600 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,(0),"KSh 7,899",EOCO E-2600 Digital ACDC TV Original 1080P Energy Saving Televison with 12 Months Warranty,eoco,26,digital
"Hisense 43 Inch Frameless Smart TV ,Bluetooth Enabled ,Netflix,Dolby Vision,DTS Virtual X,AI 4k Upscaler,Vidaa Voice,Airplay 2,Dual Band Wifi+2YRS Warranty - (A6K)",(0),"KSh 32,999","Hisense 43 Inch Frameless Smart TV ,Bluetooth Enabled ,Netflix,Dolby Vision,DTS Virtual X,AI 4k Upscaler,Vidaa Voice,Airplay 2,Dual Band Wifi2YRS Warranty - A6K",hisense,43,smart
