standing_cooker_name,standing_cooker_reviews,standing_cooker_price
【Xmas Mega Sale】Volsmart cooker 4 Burners VGS-580 Free Standing 4 Gas Burners Oven Cooker Gas Cooker/ Free Standing Gas Cooker Cooking Range with 60L Oven 4 Gas Cooker + Gas Oven Gas stove,(0),"KSh 18,699"
"Pac Gas Regulator 6Kg Gas Cylinder Plus Free Gas Pipe,",(0),KSh 890
Hisense Free Standing Gas Cooker 4 Burner Gas Stove HFG50111X Gas Oven,(15),"KSh 28,499"
(Today Only)Hisense 4 Burner Gas Cooker Gas Oven Stainless Steel HFG60121B Cooker with Oven,(10),"KSh 34,199"
WE ARE SELLING AT WHOLASE PRICES OF KSH 4150 ALYONS Top Infrared Gas Stove Double Burner-2 Burner VER QUALITY LONG LASTING HELPS YOU SAVE ALOT OF GAS,(0),"KSh 4,150"
Mika 50 X 60CM Standing Cooker 3 Gas Jet Pool Burners + 1Electric Hotplate With Electric Oven with Button Ignition,(0),"KSh 32,999"
Nunix 4 Gas Burner Stove with Shelf,(0),"KSh 9,191"
"BJS Standing Oven Cooker 3Gas+1Hotplate of 1000W, Electric Oven with Turbo Fan, SILVER",(0),"KSh 37,899"
"CLEARANCE SALE!!!! BJS Standing Oven Cooker 3Gas+1Hotplate of 1000W, Electric Oven with Turbo Fan, SILVER+1 YEAR WARRANTY",(0),"KSh 37,899"
New Arrivals!!Bruhm gas cooker  BGC - 66M310RSN silver 3+1 gas oven with electric grill,(0),"KSh 41,499"
"CLEARANCE SALE!!!! BJS Standing Oven Cooker 3Gas+1Hotplate of 1000W, Electric Oven with Turbo Fan, BLACK+1 YEAR WARRANTY",(0),"KSh 36,999"
"Eurochef 3+1 standing gas Cooker 3 Gas Burners 1 electric Hot Plate,75L Electric Oven With Timer",(2),"KSh 25,500"
"CLEARANCE SALE!! MIKA MST5060U11ESL,Standing Cooker, 50cm x 60cm, 4 Gas Pool Jet Burners, Button Ignition, Gas Oven 1 Burner,SILVER",(0),"KSh 25,999"
"CLEARANCE SALE!! MIKA Standing Cooker, 50cm x 60cm, 4 Gas Pool Jet Burners, Button Ignition, Gas Oven 1 Burner, Black Hob, Silver Body",(0),"KSh 25,899"
"BJS Standing Oven Cooker 3Gas+1Hotplate of 1000W, Electric Oven with Turbo Fan, BLACK",(0),"KSh 36,999"
"CLEARANCE SALE!!Mika 50cm x 60cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie,Standing Cooker Electric Oven+13KG REGULATOR+PIPE",(0),"KSh 33,899"
"CLEARANCE SALE!!Mika 50cmx 60cm,3 Gas Jet Pool Burners+1 Hot Plate, Button Ignition,Standing Cooker Electric Oven,Rotisserie+FREE GIFTS",(0),"KSh 33,699"
"MIKA Standing Cooker, 50cm x 60cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie, Black Hob, Silver+FREE GIFTS",(0),"KSh 33,899"
"MIKA Standing Cooker, 50cm x 60cm, 3 Gas Pipe Burners + 1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, Black Hob, Silver +FREE GIFTS",(0),"KSh 33,799"
BJS 60X60 3-GAS+1 Hot Plate With Turbo-FAN Quality Standing Cooker BLACK + FREE GAS Pipe & Clips,(0),"KSh 39,000"
"EK-B002C hardened Glass top Gas Stove, 2 Burners Gas Cooker, Table Top",(0),"KSh 3,299"
CLEARANCE SALE!!!Mika 50 X 60CM Standing Cooker 3 Gas Jet Pool Burners + 1Electric Hotplate With Electric Oven with Button Ignition+FREE GIFTS,(0),"KSh 33,899"
"CLEARANCE SALE!!!MIKA Standing Cooker, 50cm x 60cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie, Silver+FREE GIFTS",(0),"KSh 33,999"
"Mika MST5060U11ESL,4 Gas, 50cm x 60cm, Button Ignition Free- Standing Cooker with Gas Oven+1 year warranty",(0),"KSh 25,999"
"Mika MST5060U31PSB, 50*60, 3 Gas Jet Burners + 1 Electric Plate With ROTISSERIE Standing Cooker And 4 Function Electric Oven+1 YEAR WARRANTY",(0),"KSh 32,999"
"Mika MST5060U31PSB, 50CM*60CM, 3 GAS JET BURNERS + 1 RAPID HOT PLATE, ROTISSERIE, ELECTRIC OVEN COOKER",(0),"KSh 32,999"
"CLEARANCE SALE!!! Nunix FREE STANDING COOKER 50 * 55cm Cooker, 4 Gas Burners With Gas Oven+1YEAR WARRANTY",(0),"KSh 19,999"
"CLEARANCE SALE!! Sarah 50 x 50, 3 Gas Pool Jet Burners + 1 Hot Plate, Free Standing Cooker + Electric Oven+1 YEAR WARRANTY",(0),"KSh 24,799"
"Sarah 50cm by 50cm, 3 Gas Pool Jet Burners + 1 Hot Plate Free Standing Cooker with Electric Oven",(0),"KSh 24,799"
"Mika MST5060U33PFB, 50cm x 60cm,3 Gas Pool Jet Burners+1Electric Hotplate, Standing Cooker With Elecric Oven+1 YEAR WARRANTY",(0),"KSh 32,999"
"Mika 3 Gas Jet Pool Burners + 1 Rapid Plate, 50*60, Electric Oven & ROTISSERIE Free Standing Cooker",(0),"KSh 32,990"
"CLEARANCE SALE!!! Sarah 50X50 Free Standing 3 Gas Pool Jet Burners + 1 Electric Hotplate,Electric Oven Cooker+1 YEAR WARRANTY",(0),"KSh 24,799"
"Mika Free Standing Cooker,50cm X 60cm,3 Gas Jet Pool Burners+1 Hot Plate, Button Ignition, Electric Oven+1YEAR WARRANTY",(0),"KSh 32,999"
"CLEARANCE SALE!!!! BJS Standing Oven Cooker 3Gas+1Hotplate of 1000W, Electric Oven with Turbo Fan, GRAY+1 YEAR WARRANTY",(0),"KSh 37,899"
"CLEARANCE SALE!! Mika MST5060U33PFB, 50cm x 60cm,3 Gas Pool Jet Burners+1Electric Rapid Hotplate, Standing Cooker With Elecric Oven+1 YEAR WARRANTY",(0),"KSh 33,999"
BJS 3 + 1 free Standing gas cooker with 60L Electric Oven And Turbo fan BJS I-6011T Black 60 X 60 3 GAS + 1 100W Hot Plate With Turbo-FAN,(0),"KSh 45,000"
"Eurochef Single Plate electric cooker, very durable and fast cooking. (Gass cookers and stoves)",(0),"KSh 1,899"
"VON 58cm by 58cm, 3 Gas Jet Pool Burners + 1 Electric Hotplate+ Electric Oven -  Graphite Grey",(0),"KSh 44,999"
"VON 58cm by 58cm, 3 Gas Pool Jet Burners +1 Electric, Free Standing Cooker with Electric Oven",(0),"KSh 43,999"
"CLEARANCE SALE!!!MIKA  FREE Standing Cooker, 50cm x 60cm, 3 Gas Burners + 1  Hot Plate, Button Ignition,Electric Oven, BLACK",(0),"KSh 29,999"
"CLEARANCE SALE!!!MIKA Standing Cooker, 50cm x 60cm, 3 Gas Burners + 1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, BLACK",(0),"KSh 29,999"
"Sarah 60 x 60, 3 Gas Pool Jet Burners + 1 Hot Plate, Free Standing Cooker + Electric Oven+1 YEAR WARRANTY",(0),"KSh 28,799"
"MIKA Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, MST58U31E3BLEM",(0),"KSh 36,699"
"CLEARANCE SALE!!!Nunix 50cm * 55cm Cookers 3 Gas burners, 1Electric Hotplate with Electric Oven (1YR WRTY)",(0),"KSh 23,899"
"CLEARANCE SALE!!! VON  3 Gas + 1 Electric Hotplate, Electric Oven 50x50 ,Grey,VCF503131NFY +1 YEAR WARRANTY",(0),"KSh 28,990"
"MIKA Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, BLACK",(0),"KSh 36,699"
CLEARANCE SALE!!! Nunix 60CM x 60CM  3 Gas +1 Electric Hotplate+Electric Oven Free Standing Cooker+1 YEAR WARRANTY,(0),"KSh 26,999"
"VON 58cm by 58cm, 3 Gas Pool Jet Burners +1 Electric, Free Standing Cooker with Electric Oven+1YEAR WARRANTY",(0),"KSh 41,999"
"CLEARANCE SALE!!! VON 58cm X 58cm, 3 Gas Pool Jet Burners +1 Electric, Free Standing Cooker with Electric Oven+1YEAR WARRANTY",(0),"KSh 41,899"
ELEVATE YOUR CCOKING STYLE WITH Rashnik DOUBLE SPIRAL HOT PLATE 2 - Burner Table Top,(0),"KSh 3,200"
ELEVATE YOUR KITCHEN WITH COLOURFUL Rashnik Single SOLID Hot Plate Electric Burner .WELCOME ALL.,(0),"KSh 1,900"
BRUHM GAS COOKER BGC- 66310RSN BLACK 3+1 GAS OVEN WITH ELECTRIC GRIILL,(0),"KSh 41,499"
Nunix 3gas + 1 Electric Free Standing Oven Gas Cooker,(0),"KSh 24,800"
Nunix 3gas + 1 Electric Free Standing Oven Gas Cooker,(0),"KSh 24,800"
"Free Standing 3 Gas Burners, 1 Hotplate, Electric Oven Cooker 50* 55*84cm",(7),"KSh 23,994"
Nunix 60×60 3+1 Freestanding cooker with electric oven + FREE 2M Gas Pipe & Clips,(0),"KSh 29,000"
"Mika MST5060P31ESL, 50cmx60cm,3G+1E, Standing Cooker With Elecric Oven+1 YEAR WARRANTY",(0),"KSh 32,999"
